,number_bins,A
86,177.0,143.34519565401675
87,179.0,141.82331962360095
88,181.0,140.29095378847776
89,183.0,138.6922781222923
90,185.0,137.29458906103284
91,187.0,135.77738995630418
92,189.0,134.366986210999
93,191.0,132.8314051330264
94,193.0,131.44450218234365
95,195.0,130.07595581042483
96,197.0,128.90318514745834
97,199.0,127.54185912770629
98,201.0,126.37147748229715
99,203.0,125.04303371429124
100,205.0,123.86964889640359
101,207.0,122.58157107694338
102,209.0,121.43063664672744
103,211.0,120.12857142316886
104,213.0,119.1549510057138
105,215.0,118.06362815718578
106,217.0,116.88975516795742
107,219.0,115.88147482202582
108,221.0,114.84559107201478
109,223.0,113.80374018786237
110,225.0,112.87200001048832
111,227.0,111.84423816500293
112,229.0,110.8019519502305
113,231.0,109.76024345251984
114,233.0,108.80626841712994
115,235.0,107.92216712844242
116,237.0,107.1989985132998
117,239.0,106.17107094345778
118,241.0,105.39099648383302
119,243.0,104.48150014317713
120,245.0,103.63009825786301
121,247.0,102.8318265268905
122,249.0,101.99311148762496
123,251.0,101.16525348720215
124,253.0,100.34580509028608
125,255.0,99.57736595064735
126,257.0,98.76885126811813
127,259.0,98.05846025083292
128,261.0,97.25825780930998
129,263.0,96.58737784274831
130,265.0,95.75695104130078
131,267.0,95.06050623492811
132,269.0,94.38475088635914
133,271.0,93.68349632806742
134,273.0,92.99124077950717
135,275.0,92.30633153004047
136,277.0,91.67526236652662
137,279.0,91.0447162488836
138,281.0,90.30846540677325
139,283.0,89.66640326917765
140,285.0,88.9991609633135
141,287.0,88.42867791249213
142,289.0,87.81917202743988
143,291.0,87.25021575124711
144,293.0,86.66831010943173
145,295.0,86.10496462969124
146,297.0,85.31415066774308
147,299.0,84.87589971146292
148,301.0,84.32117122739962
149,303.0,83.64942827881427
150,305.0,83.18279514598397
151,307.0,82.64038936499651
152,309.0,82.13944724337482
153,311.0,81.56181224930819
154,313.0,81.08775804313073
155,315.0,80.57123438967133
156,317.0,80.04373437471463
157,319.0,79.58444591169764
158,321.0,79.06776666486519
159,323.0,78.57000440578284
160,325.0,78.13945167318779
161,327.0,77.65174674808671
162,329.0,77.13514585807923
