,peak_X0,peak_Y0
event_390,104.0,115.2
event_391,103.0,36.0
event_392,104.0,68.39999999999999
event_393,104.0,110.39999999999998
event_394,104.0,74.39999999999999
event_395,103.0,34.8
event_396,103.0,45.6
event_397,103.0,40.8
event_398,104.0,114.0
event_399,102.0,28.8
event_400,103.0,46.8
event_401,104.0,56.39999999999999
event_402,104.0,83.99999999999999
event_403,104.0,102.0
event_404,103.0,36.0
event_405,103.0,37.2
event_406,104.0,86.39999999999999
event_407,104.0,136.79999999999998
event_408,104.0,67.2
event_409,104.0,36.0
event_410,103.0,46.8
event_411,102.0,25.2
event_412,104.0,75.59999999999998
event_413,104.0,131.99999999999997
event_414,103.0,51.6
event_415,104.0,91.2
event_416,104.0,73.19999999999999
event_417,104.0,43.2
event_418,104.0,87.6
event_419,104.0,81.6
event_420,104.0,112.79999999999998
event_421,104.0,75.59999999999998
event_422,103.0,36.0
event_423,104.0,43.2
event_424,104.0,60.0
event_425,103.0,45.6
event_426,103.0,49.2
event_427,104.0,87.6
event_428,103.0,39.6
event_429,104.0,88.79999999999998
event_430,103.0,28.8
event_431,104.0,82.8
event_432,103.0,61.2
event_433,104.0,67.2
event_434,105.0,97.2
event_435,104.0,123.6
event_436,105.0,178.79999999999998
event_437,104.0,76.8
event_438,103.0,50.39999999999999
event_439,104.0,73.19999999999999
event_440,104.0,36.0
event_441,104.0,104.4
event_442,104.0,39.6
event_443,103.0,34.8
event_444,103.0,44.39999999999999
event_445,103.0,38.4
event_446,104.0,70.79999999999998
event_447,104.0,75.59999999999998
event_448,104.0,110.39999999999998
event_449,104.0,146.39999999999998
event_450,103.0,33.6
event_451,104.0,65.99999999999999
event_452,104.0,164.39999999999998
event_453,104.0,64.8
event_454,104.0,65.99999999999999
event_455,103.0,64.8
event_456,104.0,112.79999999999998
event_457,104.0,123.6
event_458,103.0,31.2
event_459,104.0,140.4
event_460,104.0,50.39999999999999
event_461,104.0,63.59999999999999
event_462,104.0,39.6
event_463,104.0,72.0
event_464,104.0,87.6
event_465,104.0,41.99999999999999
event_466,104.0,45.6
event_467,103.0,53.99999999999999
event_468,104.0,46.8
event_469,104.0,195.6
event_470,104.0,75.59999999999998
event_471,103.0,50.39999999999999
event_472,103.0,30.0
event_473,104.0,110.39999999999998
event_474,103.0,38.4
event_475,103.0,45.6
event_476,105.0,126.0
event_477,104.0,124.8
event_478,103.0,32.4
event_479,104.0,130.8
event_480,104.0,93.6
event_481,104.0,93.6
event_482,104.0,82.8
event_483,104.0,74.39999999999999
event_484,105.0,114.0
event_485,104.0,75.59999999999998
event_486,104.0,87.6
event_487,104.0,98.4
event_488,104.0,75.59999999999998
event_489,103.0,40.8
event_490,105.0,178.79999999999998
event_491,104.0,102.0
event_492,104.0,102.0
event_493,105.0,144.0
event_494,104.0,129.6
event_495,103.0,37.2
event_496,104.0,65.99999999999999
event_497,103.0,60.0
event_498,104.0,69.6
event_499,104.0,50.39999999999999
event_500,103.0,68.39999999999999
event_501,104.0,112.79999999999998
event_502,104.0,70.79999999999998
event_503,103.0,53.99999999999999
event_504,103.0,62.4
event_505,104.0,79.19999999999999
event_506,104.0,208.8
event_507,104.0,82.8
event_508,104.0,102.0
event_509,103.0,34.8
event_510,104.0,43.2
event_511,104.0,58.8
event_512,104.0,72.0
event_513,104.0,40.8
event_514,103.0,30.0
event_515,104.0,109.2
event_516,103.0,32.4
event_517,103.0,39.6
event_518,104.0,93.6
event_519,104.0,129.6
event_520,103.0,50.39999999999999
event_521,104.0,75.59999999999998
event_522,104.0,93.6
event_523,104.0,164.39999999999998
event_524,103.0,38.4
event_525,104.0,61.2
event_526,104.0,94.8
event_527,104.0,65.99999999999999
event_528,104.0,117.6
event_529,104.0,85.2
event_530,103.0,50.39999999999999
event_531,104.0,134.4
event_532,103.0,37.2
event_533,104.0,60.0
event_534,104.0,165.6
event_535,104.0,61.2
event_536,104.0,67.2
event_537,104.0,108.0
event_538,104.0,53.99999999999999
event_539,104.0,72.0
event_540,104.0,70.79999999999998
event_541,103.0,43.2
event_542,103.0,38.4
event_543,104.0,120.0
event_544,103.0,34.8
event_545,104.0,167.99999999999997
event_546,104.0,161.99999999999997
event_547,104.0,93.6
event_548,103.0,45.6
event_549,104.0,133.2
event_550,103.0,34.8
event_551,104.0,85.2
event_552,104.0,147.6
event_553,103.0,34.8
event_554,103.0,36.0
event_555,104.0,186.0
event_556,104.0,51.6
event_557,105.0,81.6
event_558,103.0,31.2
event_559,104.0,97.2
event_560,104.0,56.39999999999999
event_561,104.0,80.4
event_562,104.0,38.4
event_563,104.0,55.19999999999999
event_564,105.0,130.8
event_565,104.0,105.59999999999998
event_566,105.0,135.6
event_567,105.0,105.59999999999998
event_568,104.0,121.2
event_569,104.0,45.6
event_570,104.0,91.2
event_571,105.0,232.8
event_572,103.0,74.39999999999999
event_573,103.0,58.8
event_574,104.0,56.39999999999999
event_575,103.0,30.0
event_576,103.0,46.8
event_577,103.0,30.0
event_578,104.0,64.8
event_579,104.0,96.0
event_580,104.0,88.79999999999998
event_581,104.0,129.6
event_582,102.0,25.2
event_583,103.0,39.6
event_584,104.0,55.19999999999999
event_585,104.0,58.8
event_586,104.0,103.2
event_587,104.0,122.4
event_588,103.0,61.2
event_589,104.0,102.0
event_590,104.0,60.0
event_591,103.0,45.6
event_592,104.0,186.0
event_593,104.0,123.6
event_594,104.0,33.6
event_595,104.0,86.39999999999999
event_596,104.0,104.4
event_597,104.0,67.2
event_598,104.0,75.59999999999998
event_599,105.0,196.8
event_600,103.0,36.0
event_601,104.0,45.6
event_602,104.0,34.8
event_603,104.0,60.0
event_604,104.0,56.39999999999999
event_605,104.0,76.8
event_606,102.0,27.599999999999994
event_607,104.0,41.99999999999999
event_608,102.0,28.8
event_609,103.0,49.2
event_610,104.0,147.6
event_611,102.0,27.599999999999994
event_612,103.0,52.79999999999999
event_613,104.0,47.99999999999999
event_614,104.0,104.4
event_615,102.0,28.8
event_616,104.0,180.0
event_617,104.0,109.2
event_618,103.0,26.399999999999995
event_619,104.0,144.0
event_620,104.0,124.8
event_621,104.0,87.6
event_622,104.0,104.4
event_623,104.0,110.39999999999998
event_624,104.0,40.8
event_625,104.0,96.0
event_626,103.0,46.8
event_627,104.0,124.8
event_628,104.0,108.0
event_629,103.0,33.6
event_630,104.0,104.4
event_631,104.0,93.6
event_632,104.0,100.79999999999998
event_633,103.0,64.8
event_634,103.0,31.2
event_635,103.0,57.6
event_636,104.0,111.6
event_637,103.0,37.2
event_638,104.0,73.19999999999999
event_639,103.0,34.8
event_640,103.0,39.6
event_641,102.0,25.2
event_642,104.0,73.19999999999999
event_643,104.0,111.6
event_644,104.0,111.6
event_645,104.0,80.4
