,peak_X0,peak_X1,peak_Y0,peak_Y1
event_185,103.0,346.0,27.599999999999994,38.4
event_186,105.0,1074.0,97.2,32.4
event_187,105.0,459.0,106.8,45.6
event_188,105.0,825.0,83.99999999999999,33.6
event_189,105.0,294.0,136.79999999999998,50.39999999999999
event_190,104.0,443.0,90.0,24.0
event_191,104.0,332.0,31.2,38.4
event_192,105.0,293.0,127.19999999999996,28.8
event_193,105.0,257.0,78.0,27.599999999999994
event_194,104.0,717.0,98.4,22.8
event_195,104.0,1199.0,50.39999999999999,34.8
event_196,105.0,379.0,128.39999999999998,39.6
event_197,103.0,457.0,24.0,41.99999999999999
event_198,104.0,1050.0,43.2,39.6
event_199,105.0,595.0,118.79999999999998,49.2
event_200,104.0,388.0,43.2,61.2
event_201,104.0,1333.0,36.0,27.599999999999994
event_202,105.0,1153.0,109.2,64.8
event_203,104.0,709.0,45.6,62.4
