,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
9,52.0,53.0,53.0,52.0,52.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,52.0,51.0,53.0,52.0,53.0
10,53.0,52.0,52.0,50.0,53.0,50.0,52.0,53.0,51.0,53.0,54.0,51.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,55.0
11,53.0,52.0,53.0,51.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0,51.0,54.0,54.0,52.0,51.0,53.0,53.0,52.0,51.0
12,55.0,50.0,54.0,52.0,53.0,55.0,54.0,52.0,55.0,53.0,53.0,54.0,51.0,53.0,54.0,53.0,55.0,53.0,52.0,50.0
13,52.0,53.0,55.0,52.0,53.0,52.0,54.0,51.0,51.0,53.0,51.0,53.0,52.0,53.0,52.0,54.0,52.0,55.0,50.0,51.0
14,52.0,52.0,52.0,53.0,52.0,53.0,52.0,51.0,53.0,49.0,52.0,52.0,52.0,54.0,54.0,53.0,52.0,53.0,53.0,52.0
15,54.0,54.0,52.0,51.0,51.0,54.0,52.0,52.0,54.0,55.0,54.0,53.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0
16,52.0,50.0,53.0,52.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,51.0,55.0,52.0,52.0
17,53.0,52.0,51.0,52.0,52.0,52.0,51.0,53.0,52.0,51.0,51.0,54.0,52.0,53.0,51.0,52.0,54.0,54.0,52.0,53.0
18,52.0,52.0,53.0,51.0,54.0,52.0,51.0,54.0,53.0,51.0,51.0,53.0,52.0,52.0,51.0,52.0,52.0,53.0,52.0,53.0
19,53.0,51.0,52.0,51.0,51.0,52.0,51.0,52.0,51.0,55.0,53.0,53.0,55.0,51.0,55.0,53.0,53.0,53.0,53.0,52.0
20,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,51.0,53.0,54.0,53.0,52.0,51.0,53.0,52.0,54.0,52.0,53.0,51.0
21,52.0,50.0,54.0,52.0,53.0,54.0,51.0,54.0,54.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0
22,52.0,51.0,53.0,53.0,52.0,54.0,53.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,55.0,52.0,55.0,52.0,52.0,52.0
23,52.0,55.0,52.0,50.0,54.0,53.0,52.0,52.0,53.0,55.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0
24,52.0,50.0,53.0,53.0,53.0,52.0,51.0,51.0,52.0,51.0,51.0,52.0,53.0,54.0,54.0,54.0,53.0,54.0,51.0,52.0
25,52.0,53.0,53.0,52.0,50.0,52.0,53.0,50.0,51.0,54.0,52.0,53.0,50.0,53.0,54.0,51.0,52.0,53.0,52.0,53.0
26,52.0,52.0,54.0,53.0,55.0,51.0,53.0,51.0,52.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,52.0,51.0
27,53.0,51.0,52.0,52.0,51.0,52.0,51.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0
28,52.0,51.0,54.0,53.0,52.0,51.0,53.0,51.0,53.0,52.0,53.0,51.0,51.0,53.0,52.0,51.0,53.0,51.0,51.0,51.0
29,52.0,53.0,54.0,52.0,51.0,52.0,53.0,51.0,52.0,56.0,51.0,52.0,52.0,54.0,54.0,52.0,52.0,54.0,54.0,52.0
30,54.0,55.0,52.0,50.0,52.0,54.0,49.0,51.0,52.0,51.0,54.0,53.0,51.0,52.0,53.0,53.0,51.0,54.0,53.0,52.0
31,52.0,53.0,55.0,53.0,54.0,54.0,49.0,52.0,54.0,50.0,52.0,50.0,53.0,54.0,53.0,54.0,51.0,55.0,53.0,53.0
32,53.0,54.0,52.0,51.0,52.0,54.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,53.0,54.0,53.0,51.0
33,53.0,51.0,53.0,52.0,52.0,54.0,51.0,51.0,52.0,51.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,53.0,52.0
34,50.0,53.0,52.0,53.0,55.0,53.0,51.0,50.0,53.0,53.0,52.0,52.0,52.0,53.0,51.0,52.0,54.0,53.0,53.0,53.0
35,53.0,53.0,53.0,52.0,53.0,54.0,51.0,51.0,50.0,51.0,53.0,53.0,52.0,54.0,53.0,54.0,54.0,52.0,52.0,52.0
36,52.0,53.0,53.0,55.0,54.0,53.0,54.0,51.0,52.0,53.0,51.0,53.0,51.0,54.0,54.0,54.0,51.0,54.0,52.0,52.0
37,53.0,52.0,51.0,54.0,52.0,52.0,51.0,51.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0
38,52.0,52.0,53.0,51.0,52.0,52.0,54.0,52.0,51.0,54.0,53.0,54.0,52.0,53.0,51.0,53.0,51.0,52.0,53.0,53.0
39,51.0,52.0,52.0,53.0,54.0,51.0,52.0,52.0,52.0,53.0,51.0,51.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0
40,54.0,53.0,53.0,52.0,53.0,52.0,50.0,50.0,54.0,51.0,52.0,54.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0,50.0
41,51.0,52.0,51.0,55.0,53.0,50.0,53.0,49.0,52.0,53.0,53.0,52.0,52.0,54.0,54.0,53.0,51.0,51.0,52.0,52.0
42,53.0,53.0,53.0,53.0,51.0,53.0,52.0,52.0,53.0,54.0,52.0,54.0,53.0,52.0,54.0,50.0,53.0,52.0,51.0,53.0
43,53.0,53.0,51.0,53.0,54.0,53.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,51.0,52.0,52.0,51.0,53.0,53.0,54.0
44,52.0,53.0,51.0,54.0,54.0,53.0,54.0,52.0,53.0,57.0,54.0,52.0,54.0,51.0,53.0,52.0,51.0,52.0,54.0,51.0
45,54.0,52.0,51.0,51.0,54.0,53.0,51.0,52.0,53.0,52.0,51.0,51.0,50.0,55.0,52.0,52.0,54.0,52.0,54.0,53.0
46,53.0,52.0,51.0,51.0,56.0,54.0,53.0,51.0,53.0,54.0,52.0,51.0,53.0,51.0,52.0,53.0,53.0,55.0,50.0,53.0
47,54.0,53.0,53.0,51.0,52.0,54.0,53.0,52.0,51.0,53.0,54.0,54.0,53.0,51.0,53.0,50.0,53.0,53.0,52.0,53.0
48,53.0,52.0,52.0,53.0,54.0,53.0,51.0,53.0,53.0,52.0,55.0,54.0,50.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0
49,54.0,52.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0,51.0,52.0,53.0,52.0,52.0,54.0,53.0,53.0,51.0
50,52.0,53.0,52.0,53.0,51.0,54.0,52.0,51.0,52.0,52.0,51.0,53.0,52.0,51.0,52.0,53.0,55.0,53.0,54.0,53.0
51,52.0,51.0,52.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0,54.0,51.0,52.0,53.0,51.0,53.0,53.0,54.0,52.0,52.0
52,52.0,53.0,53.0,51.0,50.0,53.0,53.0,52.0,51.0,50.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0
53,52.0,52.0,52.0,53.0,52.0,51.0,53.0,52.0,52.0,54.0,53.0,52.0,51.0,54.0,55.0,53.0,52.0,54.0,51.0,54.0
54,52.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0,56.0,52.0,53.0,53.0,50.0,53.0,53.0,53.0,51.0,53.0,50.0,52.0
55,52.0,53.0,51.0,51.0,52.0,53.0,54.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0
56,53.0,52.0,54.0,52.0,52.0,51.0,54.0,52.0,51.0,53.0,53.0,52.0,54.0,53.0,54.0,54.0,53.0,52.0,53.0,51.0
57,54.0,51.0,53.0,51.0,52.0,52.0,53.0,51.0,53.0,53.0,52.0,54.0,53.0,51.0,53.0,53.0,53.0,52.0,52.0,52.0
58,52.0,51.0,52.0,52.0,53.0,52.0,51.0,51.0,52.0,53.0,52.0,51.0,52.0,52.0,56.0,52.0,51.0,53.0,53.0,54.0
59,52.0,52.0,52.0,50.0,53.0,52.0,51.0,51.0,52.0,53.0,50.0,53.0,52.0,53.0,52.0,53.0,52.0,54.0,52.0,52.0
60,53.0,52.0,53.0,51.0,54.0,53.0,52.0,52.0,50.0,52.0,50.0,52.0,52.0,54.0,52.0,51.0,54.0,53.0,54.0,53.0
61,52.0,53.0,54.0,54.0,52.0,54.0,54.0,53.0,51.0,53.0,52.0,53.0,54.0,53.0,54.0,53.0,53.0,52.0,52.0,52.0
62,55.0,53.0,54.0,53.0,53.0,53.0,52.0,54.0,51.0,51.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0
63,54.0,51.0,52.0,53.0,54.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,52.0,50.0,52.0,52.0,53.0,56.0
64,53.0,53.0,53.0,51.0,53.0,50.0,53.0,51.0,56.0,54.0,51.0,53.0,52.0,52.0,51.0,51.0,52.0,51.0,51.0,52.0
65,53.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,53.0,50.0,53.0,54.0,53.0,53.0,51.0,53.0,53.0,53.0,54.0,52.0
66,51.0,55.0,51.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,54.0,54.0,53.0,53.0,54.0,51.0,51.0,53.0,54.0,52.0
67,53.0,54.0,54.0,53.0,52.0,53.0,50.0,54.0,51.0,52.0,54.0,53.0,53.0,53.0,54.0,53.0,51.0,54.0,51.0,53.0
68,54.0,53.0,52.0,53.0,53.0,54.0,53.0,52.0,49.0,53.0,52.0,52.0,52.0,55.0,54.0,53.0,52.0,54.0,52.0,54.0
69,51.0,52.0,49.0,51.0,53.0,53.0,53.0,52.0,51.0,53.0,53.0,51.0,53.0,53.0,53.0,51.0,50.0,52.0,52.0,51.0
70,50.0,52.0,51.0,52.0,54.0,54.0,52.0,53.0,50.0,51.0,53.0,51.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,53.0
71,54.0,51.0,52.0,53.0,52.0,52.0,52.0,53.0,51.0,54.0,52.0,53.0,53.0,51.0,52.0,53.0,53.0,53.0,51.0,52.0
72,54.0,54.0,52.0,51.0,54.0,54.0,53.0,52.0,52.0,54.0,52.0,54.0,52.0,52.0,52.0,54.0,52.0,51.0,51.0,52.0
73,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,49.0,51.0,53.0,53.0,55.0,53.0,53.0,53.0,51.0,54.0,51.0,54.0
74,52.0,52.0,53.0,51.0,51.0,51.0,53.0,51.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,50.0,52.0
75,54.0,51.0,53.0,51.0,53.0,52.0,52.0,54.0,52.0,54.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,54.0,53.0,53.0
76,50.0,52.0,54.0,53.0,53.0,54.0,53.0,52.0,49.0,54.0,53.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,51.0,54.0
77,52.0,52.0,52.0,52.0,51.0,54.0,52.0,51.0,53.0,53.0,52.0,53.0,53.0,53.0,51.0,53.0,52.0,52.0,51.0,52.0
78,53.0,52.0,52.0,52.0,51.0,54.0,52.0,54.0,54.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,52.0,51.0,53.0,54.0
79,53.0,52.0,51.0,52.0,50.0,51.0,54.0,51.0,51.0,51.0,52.0,54.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,52.0
80,55.0,53.0,51.0,53.0,53.0,51.0,52.0,53.0,52.0,51.0,53.0,52.0,51.0,52.0,53.0,53.0,54.0,53.0,54.0,51.0
81,52.0,51.0,53.0,56.0,54.0,52.0,53.0,53.0,53.0,52.0,55.0,52.0,53.0,51.0,53.0,50.0,53.0,53.0,53.0,51.0
82,54.0,51.0,54.0,54.0,53.0,53.0,52.0,52.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,51.0,52.0,53.0,52.0,51.0
83,53.0,52.0,51.0,53.0,51.0,53.0,51.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0
84,52.0,53.0,53.0,51.0,53.0,53.0,50.0,53.0,53.0,54.0,54.0,52.0,51.0,52.0,52.0,53.0,54.0,54.0,52.0,52.0
85,53.0,54.0,52.0,52.0,53.0,53.0,51.0,53.0,51.0,52.0,51.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,51.0
86,53.0,53.0,52.0,53.0,54.0,51.0,51.0,50.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,54.0,52.0,52.0,55.0,52.0
87,54.0,52.0,53.0,52.0,52.0,54.0,51.0,52.0,53.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0
88,52.0,53.0,54.0,50.0,52.0,50.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,51.0,52.0,51.0,53.0,53.0
89,51.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,51.0,51.0,53.0,52.0,52.0,52.0,53.0,51.0,53.0,52.0,52.0,51.0
90,54.0,54.0,53.0,54.0,53.0,52.0,51.0,52.0,51.0,53.0,52.0,51.0,52.0,53.0,54.0,51.0,51.0,51.0,53.0,52.0
91,54.0,53.0,53.0,52.0,53.0,53.0,52.0,51.0,52.0,51.0,53.0,52.0,52.0,53.0,55.0,52.0,52.0,53.0,52.0,52.0
92,52.0,52.0,50.0,51.0,51.0,52.0,53.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0
93,51.0,53.0,53.0,51.0,54.0,51.0,53.0,52.0,51.0,53.0,52.0,53.0,53.0,51.0,53.0,53.0,52.0,52.0,55.0,53.0
94,54.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0,52.0,52.0,54.0,54.0,52.0,52.0,51.0,54.0,51.0,50.0,52.0,52.0
95,54.0,51.0,50.0,52.0,51.0,52.0,53.0,51.0,50.0,52.0,55.0,52.0,51.0,51.0,50.0,53.0,53.0,54.0,52.0,51.0
96,52.0,51.0,53.0,52.0,55.0,51.0,53.0,53.0,52.0,54.0,53.0,53.0,54.0,52.0,52.0,51.0,51.0,54.0,52.0,51.0
97,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,53.0,55.0,54.0,52.0,53.0,52.0,51.0,55.0,52.0,53.0,54.0
98,53.0,50.0,52.0,52.0,54.0,53.0,53.0,51.0,54.0,52.0,51.0,53.0,54.0,53.0,54.0,53.0,53.0,53.0,51.0,52.0
99,53.0,53.0,52.0,54.0,52.0,54.0,52.0,50.0,53.0,51.0,53.0,53.0,51.0,52.0,54.0,49.0,51.0,53.0,53.0,51.0
100,51.0,53.0,51.0,53.0,51.0,53.0,50.0,53.0,51.0,53.0,54.0,53.0,52.0,51.0,51.0,52.0,55.0,54.0,53.0,53.0
101,54.0,51.0,50.0,52.0,54.0,53.0,52.0,51.0,52.0,56.0,54.0,54.0,53.0,50.0,53.0,52.0,52.0,51.0,49.0,47.0
102,38.0,42.0,8.0,39.0,39.0,50.0,44.0,50.0,32.0,27.0,43.0,51.0,45.0,33.0,52.0,40.0,39.0,20.0,6.0,11.0
103,-21.0,-16.0,-106.0,-9.0,-86.0,-28.0,-26.0,-1.0,-34.0,-127.0,-43.0,-3.0,-33.0,-9.0,0.0,-45.0,-26.0,-46.0,-53.0,-9.0
104,-39.0,-78.0,-127.0,-24.0,-127.0,-127.0,-103.0,-127.0,-52.0,-127.0,-127.0,-127.0,-119.0,-14.0,-127.0,-115.0,-59.0,-39.0,-36.0,12.0
105,-7.0,-54.0,-45.0,1.0,-124.0,-127.0,-65.0,-127.0,-9.0,-127.0,-85.0,-127.0,-72.0,18.0,-127.0,-64.0,-27.0,2.0,10.0,38.0
106,29.0,0.0,17.0,28.0,-17.0,-74.0,-3.0,-112.0,24.0,-20.0,-14.0,-80.0,0.0,44.0,-117.0,8.0,16.0,30.0,35.0,48.0
107,45.0,25.0,31.0,40.0,28.0,14.0,26.0,-14.0,36.0,21.0,24.0,11.0,26.0,47.0,-11.0,33.0,38.0,37.0,44.0,49.0
108,44.0,33.0,41.0,41.0,33.0,32.0,36.0,20.0,45.0,32.0,36.0,31.0,34.0,48.0,17.0,39.0,41.0,44.0,49.0,51.0
109,49.0,46.0,51.0,46.0,47.0,42.0,48.0,33.0,51.0,53.0,44.0,38.0,47.0,49.0,33.0,44.0,49.0,51.0,53.0,53.0
110,50.0,51.0,45.0,49.0,48.0,56.0,51.0,47.0,48.0,52.0,50.0,49.0,51.0,50.0,48.0,46.0,48.0,49.0,47.0,49.0
111,44.0,42.0,35.0,44.0,30.0,42.0,41.0,43.0,42.0,29.0,36.0,43.0,41.0,44.0,39.0,38.0,44.0,46.0,43.0,46.0
112,48.0,44.0,44.0,46.0,33.0,24.0,41.0,27.0,43.0,33.0,36.0,31.0,38.0,48.0,25.0,38.0,45.0,48.0,45.0,47.0
113,49.0,50.0,48.0,50.0,48.0,39.0,47.0,36.0,50.0,51.0,49.0,41.0,49.0,52.0,35.0,49.0,49.0,51.0,47.0,51.0
114,49.0,50.0,48.0,48.0,47.0,48.0,49.0,45.0,50.0,49.0,50.0,49.0,47.0,51.0,47.0,50.0,51.0,51.0,48.0,50.0
115,50.0,49.0,51.0,50.0,48.0,45.0,49.0,48.0,52.0,46.0,50.0,46.0,44.0,52.0,45.0,48.0,51.0,54.0,52.0,52.0
116,52.0,50.0,53.0,52.0,51.0,48.0,51.0,52.0,52.0,51.0,50.0,47.0,50.0,53.0,46.0,50.0,54.0,53.0,52.0,51.0
117,51.0,53.0,51.0,52.0,52.0,53.0,52.0,52.0,54.0,52.0,51.0,50.0,51.0,52.0,50.0,54.0,51.0,53.0,52.0,52.0
118,53.0,52.0,50.0,51.0,53.0,54.0,52.0,51.0,51.0,52.0,52.0,51.0,53.0,51.0,52.0,52.0,50.0,53.0,53.0,52.0
119,53.0,50.0,49.0,53.0,51.0,53.0,52.0,52.0,51.0,51.0,53.0,51.0,51.0,51.0,54.0,53.0,52.0,52.0,52.0,53.0
120,49.0,50.0,52.0,53.0,49.0,50.0,49.0,48.0,53.0,52.0,52.0,52.0,49.0,51.0,49.0,51.0,51.0,52.0,52.0,53.0
121,51.0,51.0,54.0,51.0,54.0,53.0,52.0,50.0,52.0,53.0,53.0,52.0,53.0,52.0,51.0,52.0,53.0,55.0,52.0,54.0
122,53.0,54.0,54.0,50.0,53.0,51.0,52.0,54.0,52.0,53.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0,54.0,53.0,51.0
123,52.0,53.0,54.0,51.0,51.0,50.0,52.0,53.0,52.0,50.0,51.0,53.0,50.0,53.0,52.0,53.0,51.0,52.0,51.0,53.0
124,51.0,53.0,51.0,50.0,49.0,53.0,50.0,52.0,53.0,50.0,52.0,52.0,50.0,53.0,53.0,50.0,54.0,53.0,52.0,52.0
125,50.0,51.0,53.0,53.0,51.0,49.0,50.0,50.0,53.0,50.0,53.0,52.0,52.0,53.0,50.0,52.0,51.0,53.0,55.0,53.0
126,53.0,53.0,57.0,53.0,55.0,51.0,52.0,51.0,54.0,53.0,55.0,51.0,53.0,53.0,51.0,52.0,53.0,54.0,52.0,55.0
127,52.0,53.0,51.0,53.0,50.0,52.0,53.0,56.0,52.0,50.0,55.0,54.0,53.0,51.0,56.0,53.0,53.0,52.0,51.0,50.0
128,52.0,52.0,51.0,53.0,50.0,51.0,51.0,53.0,52.0,47.0,51.0,52.0,52.0,52.0,50.0,51.0,50.0,51.0,52.0,52.0
129,54.0,50.0,51.0,52.0,52.0,48.0,51.0,48.0,52.0,51.0,54.0,52.0,50.0,51.0,48.0,51.0,50.0,52.0,53.0,54.0
130,53.0,53.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,53.0,53.0,50.0,52.0,52.0,53.0,54.0,54.0,53.0
131,53.0,53.0,53.0,53.0,52.0,52.0,53.0,55.0,52.0,55.0,53.0,53.0,52.0,53.0,53.0,52.0,55.0,53.0,53.0,51.0
132,53.0,51.0,52.0,52.0,51.0,54.0,51.0,53.0,52.0,50.0,53.0,51.0,53.0,51.0,55.0,52.0,53.0,53.0,52.0,51.0
133,52.0,51.0,53.0,50.0,52.0,48.0,52.0,48.0,53.0,49.0,50.0,49.0,52.0,52.0,49.0,48.0,55.0,53.0,53.0,53.0
134,53.0,55.0,54.0,53.0,55.0,54.0,53.0,50.0,51.0,52.0,51.0,51.0,52.0,53.0,52.0,51.0,55.0,52.0,53.0,53.0
135,52.0,52.0,52.0,53.0,53.0,55.0,53.0,57.0,51.0,53.0,54.0,55.0,54.0,54.0,56.0,53.0,52.0,52.0,51.0,52.0
136,54.0,51.0,53.0,53.0,51.0,51.0,51.0,49.0,51.0,50.0,48.0,52.0,53.0,52.0,54.0,52.0,54.0,53.0,52.0,54.0
137,53.0,53.0,52.0,51.0,52.0,52.0,51.0,51.0,53.0,54.0,51.0,52.0,52.0,49.0,51.0,53.0,55.0,54.0,51.0,51.0
138,53.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,54.0,52.0,52.0,53.0,50.0,52.0,54.0,53.0,53.0,50.0,54.0
139,53.0,52.0,54.0,51.0,50.0,54.0,54.0,49.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,51.0,53.0,54.0,52.0,53.0
140,52.0,52.0,55.0,53.0,52.0,52.0,51.0,51.0,54.0,52.0,54.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,54.0,51.0
141,53.0,51.0,54.0,53.0,52.0,54.0,50.0,50.0,53.0,51.0,52.0,54.0,51.0,53.0,53.0,52.0,52.0,54.0,53.0,52.0
142,53.0,52.0,53.0,51.0,53.0,56.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0,50.0,52.0,54.0,54.0,51.0,53.0,53.0
143,52.0,52.0,51.0,52.0,52.0,53.0,53.0,51.0,53.0,51.0,55.0,51.0,51.0,51.0,54.0,53.0,51.0,51.0,54.0,52.0
144,55.0,53.0,52.0,52.0,52.0,50.0,49.0,51.0,53.0,53.0,54.0,52.0,50.0,53.0,53.0,53.0,52.0,54.0,52.0,51.0
145,52.0,53.0,52.0,52.0,54.0,55.0,51.0,53.0,53.0,52.0,55.0,54.0,52.0,52.0,53.0,53.0,54.0,54.0,51.0,53.0
146,52.0,51.0,52.0,53.0,54.0,51.0,52.0,54.0,52.0,49.0,53.0,55.0,51.0,52.0,54.0,54.0,53.0,53.0,53.0,55.0
147,52.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,55.0,53.0,51.0,53.0,52.0,50.0,54.0,51.0,51.0,52.0,50.0,51.0
148,54.0,53.0,52.0,53.0,54.0,53.0,53.0,50.0,55.0,53.0,54.0,53.0,53.0,52.0,50.0,54.0,52.0,54.0,52.0,52.0
149,53.0,53.0,53.0,51.0,56.0,49.0,54.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,55.0,52.0,54.0,52.0,53.0,53.0
150,52.0,52.0,52.0,54.0,53.0,52.0,51.0,54.0,51.0,51.0,52.0,54.0,51.0,52.0,53.0,50.0,52.0,54.0,53.0,51.0
151,52.0,52.0,53.0,54.0,51.0,54.0,52.0,51.0,52.0,52.0,53.0,52.0,53.0,51.0,54.0,53.0,51.0,54.0,52.0,55.0
152,54.0,52.0,49.0,52.0,52.0,53.0,52.0,50.0,52.0,53.0,53.0,53.0,51.0,51.0,53.0,51.0,54.0,54.0,54.0,54.0
153,54.0,53.0,53.0,54.0,54.0,50.0,52.0,53.0,52.0,50.0,53.0,53.0,51.0,52.0,55.0,53.0,53.0,53.0,50.0,53.0
154,52.0,52.0,51.0,54.0,52.0,55.0,54.0,53.0,53.0,50.0,53.0,52.0,51.0,52.0,54.0,52.0,53.0,53.0,50.0,53.0
155,53.0,53.0,51.0,50.0,51.0,52.0,52.0,52.0,50.0,48.0,52.0,51.0,52.0,52.0,53.0,50.0,53.0,55.0,52.0,51.0
156,54.0,49.0,51.0,53.0,52.0,49.0,52.0,51.0,52.0,53.0,53.0,53.0,52.0,55.0,54.0,54.0,51.0,53.0,53.0,53.0
157,53.0,51.0,50.0,52.0,50.0,53.0,51.0,53.0,54.0,54.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,53.0
158,53.0,53.0,54.0,50.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,52.0
159,54.0,53.0,52.0,52.0,53.0,55.0,51.0,53.0,50.0,53.0,53.0,56.0,51.0,52.0,55.0,52.0,53.0,53.0,53.0,51.0
160,52.0,51.0,50.0,53.0,50.0,50.0,51.0,54.0,53.0,51.0,54.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0
161,54.0,50.0,54.0,53.0,53.0,53.0,52.0,51.0,54.0,53.0,53.0,54.0,52.0,53.0,52.0,53.0,51.0,55.0,51.0,52.0
162,54.0,52.0,54.0,52.0,54.0,54.0,51.0,55.0,54.0,52.0,51.0,55.0,53.0,54.0,54.0,53.0,51.0,51.0,52.0,51.0
163,51.0,51.0,52.0,53.0,54.0,51.0,53.0,53.0,53.0,54.0,51.0,52.0,51.0,52.0,51.0,51.0,51.0,52.0,53.0,52.0
164,52.0,53.0,53.0,51.0,51.0,52.0,52.0,50.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,54.0,52.0,52.0,52.0,51.0
