,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
110,45.0,48.0,48.0,32.0,49.0,51.0,50.0,49.0,46.0,50.0
111,33.0,41.0,33.0,36.0,41.0,38.0,38.0,37.0,35.0,41.0
112,40.0,41.0,31.0,5.0,27.0,37.0,37.0,28.0,41.0,46.0
113,49.0,49.0,42.0,16.0,38.0,46.0,47.0,40.0,49.0,52.0
114,49.0,49.0,44.0,36.0,47.0,47.0,52.0,46.0,50.0,51.0
115,49.0,49.0,48.0,38.0,48.0,49.0,46.0,45.0,50.0,53.0
116,50.0,50.0,49.0,41.0,49.0,52.0,48.0,49.0,50.0,53.0
117,52.0,52.0,52.0,49.0,52.0,53.0,52.0,50.0,52.0,50.0
118,52.0,53.0,51.0,50.0,50.0,53.0,53.0,53.0,55.0,53.0
119,53.0,49.0,50.0,49.0,52.0,52.0,53.0,50.0,51.0,53.0
120,49.0,50.0,48.0,49.0,48.0,50.0,50.0,49.0,51.0,50.0
121,54.0,53.0,49.0,49.0,49.0,52.0,51.0,51.0,54.0,53.0
122,55.0,53.0,55.0,52.0,52.0,53.0,53.0,54.0,53.0,54.0
123,54.0,51.0,53.0,55.0,52.0,53.0,52.0,50.0,53.0,52.0
124,51.0,50.0,50.0,51.0,52.0,51.0,53.0,52.0,51.0,50.0
125,52.0,50.0,50.0,44.0,51.0,52.0,53.0,51.0,52.0,51.0
126,56.0,53.0,51.0,48.0,52.0,54.0,54.0,53.0,55.0,54.0
127,54.0,53.0,53.0,58.0,56.0,53.0,53.0,54.0,52.0,52.0
128,49.0,52.0,50.0,51.0,53.0,50.0,52.0,52.0,49.0,50.0
129,49.0,53.0,52.0,45.0,47.0,51.0,51.0,50.0,53.0,51.0
130,53.0,54.0,54.0,51.0,55.0,53.0,52.0,54.0,54.0,53.0
131,53.0,55.0,50.0,54.0,54.0,53.0,55.0,53.0,53.0,53.0
132,52.0,51.0,52.0,50.0,53.0,53.0,51.0,52.0,50.0,53.0
133,51.0,51.0,47.0,49.0,49.0,49.0,52.0,50.0,50.0,52.0
134,56.0,52.0,53.0,49.0,52.0,54.0,54.0,54.0,55.0,54.0
135,54.0,52.0,54.0,57.0,54.0,51.0,54.0,55.0,50.0,51.0
136,48.0,52.0,49.0,53.0,52.0,49.0,51.0,51.0,52.0,51.0
137,53.0,52.0,52.0,46.0,48.0,52.0,52.0,51.0,49.0,51.0
138,53.0,52.0,52.0,51.0,54.0,55.0,54.0,52.0,51.0,53.0
139,53.0,53.0,51.0,53.0,52.0,53.0,52.0,51.0,52.0,52.0
140,49.0,51.0,51.0,53.0,52.0,51.0,50.0,51.0,53.0,52.0
141,53.0,52.0,52.0,53.0,54.0,53.0,52.0,51.0,52.0,53.0
142,54.0,53.0,53.0,51.0,51.0,53.0,53.0,53.0,52.0,53.0
143,52.0,53.0,52.0,53.0,53.0,52.0,53.0,51.0,53.0,53.0
144,51.0,51.0,52.0,50.0,51.0,53.0,53.0,52.0,55.0,52.0
145,52.0,52.0,54.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0
146,54.0,54.0,51.0,55.0,53.0,52.0,53.0,51.0,52.0,53.0
147,52.0,51.0,52.0,51.0,49.0,51.0,51.0,51.0,55.0,51.0
148,53.0,54.0,54.0,49.0,52.0,54.0,53.0,52.0,53.0,52.0
149,54.0,53.0,55.0,54.0,54.0,53.0,55.0,51.0,55.0,53.0
150,52.0,53.0,52.0,53.0,53.0,52.0,55.0,49.0,51.0,54.0
151,51.0,53.0,52.0,50.0,50.0,55.0,51.0,50.0,51.0,53.0
152,52.0,53.0,51.0,49.0,53.0,53.0,51.0,51.0,52.0,51.0
153,53.0,53.0,51.0,53.0,51.0,52.0,54.0,51.0,55.0,51.0
154,54.0,51.0,54.0,54.0,53.0,53.0,53.0,54.0,52.0,52.0
155,52.0,53.0,51.0,55.0,54.0,51.0,52.0,52.0,52.0,52.0
156,53.0,52.0,52.0,53.0,52.0,51.0,53.0,51.0,54.0,51.0
157,53.0,50.0,54.0,52.0,53.0,52.0,51.0,53.0,52.0,52.0
158,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
159,54.0,51.0,52.0,54.0,51.0,51.0,53.0,52.0,51.0,53.0
160,52.0,52.0,50.0,51.0,54.0,51.0,53.0,52.0,50.0,54.0
161,54.0,52.0,50.0,52.0,52.0,54.0,53.0,52.0,54.0,53.0
162,52.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0
163,53.0,51.0,51.0,54.0,53.0,50.0,53.0,49.0,53.0,51.0
164,52.0,52.0,53.0,52.0,52.0,51.0,53.0,52.0,53.0,53.0
165,51.0,52.0,51.0,51.0,52.0,51.0,53.0,53.0,56.0,52.0
166,52.0,50.0,52.0,52.0,53.0,51.0,51.0,53.0,55.0,52.0
167,54.0,52.0,51.0,53.0,53.0,53.0,52.0,54.0,53.0,52.0
168,52.0,51.0,51.0,53.0,51.0,51.0,54.0,52.0,53.0,50.0
169,54.0,51.0,52.0,53.0,53.0,51.0,53.0,52.0,52.0,51.0
170,52.0,52.0,51.0,50.0,52.0,51.0,52.0,52.0,52.0,52.0
171,52.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
172,51.0,52.0,53.0,53.0,54.0,53.0,54.0,51.0,53.0,52.0
173,52.0,51.0,53.0,51.0,53.0,50.0,53.0,53.0,54.0,52.0
174,52.0,52.0,50.0,52.0,52.0,53.0,53.0,52.0,52.0,53.0
175,52.0,52.0,51.0,51.0,53.0,53.0,54.0,52.0,50.0,52.0
176,53.0,52.0,52.0,50.0,50.0,54.0,54.0,51.0,51.0,51.0
177,53.0,52.0,52.0,55.0,52.0,51.0,52.0,52.0,52.0,54.0
178,50.0,52.0,53.0,52.0,51.0,51.0,51.0,53.0,53.0,54.0
179,50.0,56.0,49.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0
180,53.0,52.0,50.0,53.0,55.0,53.0,54.0,51.0,52.0,52.0
181,52.0,52.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0
182,50.0,52.0,51.0,51.0,51.0,52.0,53.0,53.0,55.0,52.0
183,51.0,53.0,51.0,50.0,53.0,52.0,54.0,52.0,53.0,53.0
184,52.0,51.0,50.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0
185,50.0,52.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,51.0
186,53.0,53.0,54.0,51.0,54.0,53.0,52.0,54.0,54.0,51.0
187,52.0,52.0,50.0,51.0,56.0,52.0,53.0,51.0,53.0,52.0
188,51.0,51.0,53.0,53.0,54.0,52.0,54.0,50.0,52.0,51.0
189,54.0,55.0,53.0,52.0,52.0,53.0,54.0,54.0,53.0,52.0
190,51.0,52.0,50.0,53.0,55.0,52.0,52.0,52.0,52.0,51.0
191,53.0,52.0,54.0,52.0,52.0,51.0,54.0,52.0,54.0,52.0
192,52.0,53.0,53.0,51.0,53.0,51.0,51.0,50.0,54.0,53.0
193,53.0,53.0,54.0,50.0,53.0,52.0,54.0,51.0,54.0,53.0
194,51.0,53.0,52.0,52.0,50.0,51.0,52.0,53.0,53.0,53.0
195,52.0,52.0,54.0,53.0,53.0,52.0,53.0,52.0,53.0,51.0
196,52.0,51.0,53.0,51.0,52.0,51.0,52.0,54.0,55.0,52.0
197,51.0,50.0,53.0,50.0,54.0,52.0,52.0,53.0,52.0,52.0
198,51.0,51.0,51.0,50.0,53.0,52.0,52.0,51.0,54.0,50.0
199,52.0,51.0,52.0,50.0,52.0,53.0,54.0,51.0,53.0,53.0
200,53.0,52.0,53.0,52.0,53.0,52.0,53.0,50.0,53.0,51.0
201,50.0,53.0,54.0,52.0,54.0,52.0,53.0,54.0,52.0,53.0
202,52.0,53.0,50.0,49.0,54.0,51.0,52.0,52.0,53.0,53.0
203,53.0,51.0,52.0,53.0,54.0,52.0,53.0,53.0,54.0,53.0
204,52.0,51.0,51.0,52.0,53.0,50.0,53.0,55.0,52.0,52.0
205,51.0,50.0,52.0,51.0,54.0,52.0,52.0,51.0,54.0,51.0
206,50.0,51.0,52.0,53.0,54.0,50.0,49.0,52.0,54.0,53.0
207,53.0,53.0,53.0,52.0,54.0,52.0,51.0,52.0,52.0,53.0
208,52.0,52.0,52.0,52.0,52.0,52.0,54.0,50.0,54.0,52.0
209,54.0,53.0,52.0,50.0,53.0,53.0,52.0,51.0,56.0,53.0
210,50.0,53.0,52.0,51.0,55.0,53.0,53.0,51.0,53.0,52.0
211,50.0,52.0,54.0,51.0,54.0,54.0,52.0,53.0,55.0,52.0
212,50.0,54.0,53.0,52.0,53.0,53.0,51.0,52.0,54.0,52.0
213,54.0,50.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0,54.0
214,51.0,52.0,52.0,52.0,54.0,52.0,52.0,51.0,54.0,53.0
215,51.0,50.0,51.0,50.0,53.0,51.0,54.0,51.0,54.0,52.0
216,52.0,53.0,53.0,51.0,52.0,53.0,52.0,52.0,53.0,54.0
217,52.0,53.0,52.0,51.0,54.0,53.0,53.0,54.0,55.0,52.0
218,53.0,51.0,54.0,52.0,53.0,53.0,54.0,53.0,54.0,51.0
219,51.0,52.0,53.0,52.0,54.0,51.0,53.0,52.0,52.0,52.0
220,53.0,53.0,53.0,51.0,53.0,51.0,53.0,52.0,53.0,52.0
221,52.0,50.0,53.0,53.0,51.0,52.0,51.0,53.0,52.0,52.0
222,53.0,50.0,52.0,53.0,52.0,52.0,52.0,51.0,55.0,50.0
223,51.0,52.0,51.0,53.0,54.0,54.0,51.0,51.0,53.0,51.0
224,52.0,52.0,54.0,51.0,53.0,53.0,50.0,52.0,53.0,52.0
225,52.0,53.0,51.0,53.0,54.0,51.0,53.0,52.0,54.0,51.0
226,54.0,52.0,50.0,53.0,54.0,52.0,53.0,53.0,53.0,52.0
