,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
846,52.0,52.0,53.0,53.0,52.0,52.0,50.0,52.0,53.0,55.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0
847,51.0,51.0,51.0,51.0,54.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0,53.0
848,52.0,52.0,52.0,52.0,54.0,54.0,53.0,53.0,54.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0
849,51.0,51.0,51.0,51.0,51.0,51.0,52.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,51.0,51.0,54.0,52.0,54.0,52.0
850,51.0,51.0,54.0,54.0,52.0,52.0,55.0,52.0,54.0,54.0,51.0,51.0,51.0,52.0,52.0,52.0,51.0,53.0,51.0,53.0
851,52.0,52.0,51.0,51.0,54.0,54.0,52.0,51.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0
852,53.0,53.0,54.0,54.0,54.0,54.0,50.0,55.0,53.0,54.0,52.0,52.0,52.0,54.0,54.0,54.0,52.0,51.0,55.0,52.0
853,52.0,52.0,53.0,53.0,53.0,53.0,54.0,55.0,52.0,54.0,52.0,52.0,52.0,55.0,55.0,55.0,53.0,53.0,52.0,52.0
854,52.0,52.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0
855,53.0,53.0,52.0,52.0,55.0,55.0,54.0,52.0,52.0,51.0,50.0,50.0,50.0,53.0,53.0,53.0,54.0,51.0,51.0,54.0
856,53.0,53.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,55.0,52.0,52.0,52.0,50.0,50.0,50.0,53.0,54.0,52.0,54.0
857,52.0,52.0,55.0,55.0,53.0,53.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,53.0
858,52.0,52.0,54.0,54.0,52.0,52.0,53.0,50.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,52.0,52.0,52.0
