,0
event_99,-190.71373018470865
event_100,-99.11373018470867
event_101,-301.91373018470864
event_102,-206.7137301847087
event_103,-317.9137301847087
event_104,-300.71373018470865
event_105,-299.9137301847087
event_106,-141.5137301847087
event_107,-374.71373018470865
event_108,-228.71373018470865
event_109,-91.91373018470868
event_110,-134.71373018470868
event_111,-172.3137301847087
event_112,-346.31373018470873
event_113,-422.3137301847087
event_114,-217.5137301847087
event_115,-183.9137301847087
event_116,-296.31373018470856
event_117,-239.11373018470866
event_118,-528.7137301847085
event_119,-180.31373018470867
event_120,-91.11373018470869
event_121,-243.11373018470866
event_122,-64.31373018470869
event_123,-143.5137301847087
event_124,-465.9137301847087
event_125,-161.11373018470866
event_126,-236.31373018470873
event_127,-362.3137301847087
event_128,-341.1137301847087
event_129,-237.51373018470866
event_130,-301.91373018470864
event_131,-93.51373018470868
event_132,-497.11373018470863
event_133,-100.71373018470868
event_134,-203.11373018470863
event_135,-646.3137301847086
event_136,-176.31373018470867
event_137,-153.5137301847087
event_138,-191.51373018470866
event_139,-105.51373018470869
event_140,-349.11373018470874
event_141,-178.7137301847087
event_142,-305.9137301847087
event_143,-404.7137301847087
event_144,-103.91373018470868
event_145,-175.91373018470867
event_146,-437.91373018470864
event_147,-284.3137301847086
event_148,-289.1137301847087
event_149,-222.31373018470865
event_150,-295.1137301847087
event_151,-307.51373018470866
event_152,-534.3137301847088
event_153,-119.91373018470865
event_154,-468.71373018470865
event_155,-304.7137301847086
event_156,-203.9137301847087
event_157,-87.11373018470867
event_158,-402.71373018470854
event_159,-459.5137301847086
event_160,-92.31373018470869
event_161,-437.1137301847086
event_162,-157.11373018470866
event_163,-290.71373018470877
event_164,-310.71373018470865
event_165,-155.51373018470866
event_166,-197.51373018470866
event_167,-143.1137301847087
event_168,-201.51373018470866
event_169,-169.51373018470866
event_170,-174.31373018470867
event_171,-194.31373018470867
event_172,-303.9137301847087
event_173,-190.71373018470862
event_174,-231.91373018470867
event_175,-251.51373018470863
