,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20
25,24,53.0,52.0,53.0,53.0,49.0,51.0,54.0,54.0,53.0,54.0,53.0,54.0,52.0,54.0,54.0,54.0,52.0,53.0,52.0,51.0
26,25,52.0,50.0,54.0,53.0,52.0,55.0,51.0,53.0,55.0,52.0,53.0,53.0,52.0,52.0,53.0,54.0,52.0,54.0,54.0,53.0
27,26,51.0,54.0,52.0,53.0,52.0,55.0,53.0,53.0,53.0,51.0,54.0,52.0,53.0,52.0,51.0,54.0,53.0,54.0,52.0,52.0
28,27,53.0,53.0,54.0,52.0,52.0,51.0,53.0,54.0,54.0,53.0,55.0,53.0,52.0,56.0,53.0,52.0,53.0,54.0,52.0,52.0
29,28,52.0,52.0,52.0,50.0,53.0,51.0,54.0,52.0,54.0,53.0,51.0,54.0,51.0,52.0,53.0,54.0,52.0,54.0,53.0,51.0
30,29,53.0,52.0,54.0,53.0,51.0,55.0,52.0,54.0,53.0,54.0,53.0,53.0,52.0,49.0,52.0,52.0,53.0,55.0,51.0,51.0
31,30,52.0,52.0,52.0,52.0,54.0,55.0,53.0,53.0,54.0,52.0,52.0,51.0,51.0,56.0,52.0,51.0,52.0,53.0,54.0,53.0
32,31,52.0,52.0,51.0,50.0,53.0,50.0,55.0,54.0,54.0,53.0,52.0,53.0,51.0,51.0,53.0,54.0,50.0,53.0,52.0,52.0
33,32,53.0,52.0,53.0,49.0,53.0,54.0,51.0,52.0,54.0,54.0,56.0,53.0,52.0,50.0,52.0,53.0,53.0,51.0,51.0,52.0
34,33,54.0,53.0,53.0,53.0,52.0,55.0,52.0,55.0,55.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,51.0,52.0,53.0,53.0
35,34,53.0,52.0,52.0,53.0,54.0,52.0,54.0,52.0,53.0,53.0,53.0,54.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,52.0
36,35,52.0,51.0,54.0,52.0,53.0,52.0,53.0,50.0,53.0,53.0,51.0,55.0,49.0,51.0,52.0,54.0,51.0,52.0,52.0,54.0
37,36,51.0,53.0,56.0,55.0,51.0,54.0,55.0,53.0,53.0,54.0,55.0,51.0,52.0,50.0,53.0,52.0,52.0,53.0,54.0,53.0
38,37,51.0,53.0,53.0,54.0,52.0,54.0,53.0,53.0,53.0,54.0,52.0,53.0,51.0,55.0,54.0,53.0,53.0,52.0,52.0,53.0
39,38,52.0,53.0,51.0,54.0,55.0,54.0,53.0,51.0,52.0,52.0,53.0,55.0,51.0,55.0,50.0,53.0,52.0,51.0,51.0,52.0
40,39,52.0,52.0,55.0,53.0,55.0,51.0,54.0,51.0,54.0,53.0,53.0,50.0,53.0,50.0,53.0,53.0,52.0,52.0,51.0,52.0
41,40,52.0,52.0,56.0,54.0,51.0,55.0,53.0,52.0,52.0,53.0,54.0,51.0,53.0,54.0,52.0,54.0,52.0,51.0,52.0,53.0
42,41,52.0,53.0,52.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,54.0,51.0,54.0,56.0,50.0,53.0,54.0,52.0,52.0,52.0
43,42,52.0,51.0,52.0,51.0,56.0,55.0,51.0,51.0,54.0,53.0,54.0,54.0,54.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0
44,43,53.0,54.0,53.0,52.0,54.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,51.0,49.0,55.0,53.0,53.0,55.0,53.0,53.0
45,44,51.0,53.0,55.0,52.0,53.0,54.0,52.0,53.0,54.0,54.0,52.0,52.0,53.0,57.0,53.0,52.0,54.0,54.0,51.0,53.0
46,45,52.0,51.0,51.0,51.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,52.0,56.0,52.0,52.0,52.0,54.0,52.0,54.0
47,46,51.0,53.0,51.0,53.0,52.0,51.0,52.0,54.0,54.0,52.0,53.0,51.0,52.0,50.0,53.0,51.0,53.0,55.0,51.0,51.0
48,47,52.0,53.0,56.0,51.0,53.0,55.0,51.0,52.0,52.0,55.0,51.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0,51.0
49,48,54.0,51.0,50.0,51.0,53.0,52.0,54.0,52.0,50.0,52.0,53.0,53.0,50.0,59.0,53.0,53.0,53.0,52.0,51.0,51.0
50,49,54.0,50.0,49.0,53.0,54.0,51.0,54.0,53.0,52.0,54.0,52.0,53.0,51.0,53.0,54.0,52.0,52.0,55.0,51.0,53.0
51,50,54.0,52.0,54.0,53.0,54.0,53.0,54.0,54.0,52.0,54.0,53.0,53.0,51.0,49.0,51.0,52.0,53.0,51.0,53.0,54.0
52,51,53.0,53.0,55.0,53.0,54.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,51.0,54.0,51.0,54.0,55.0,52.0,53.0,50.0
53,52,52.0,51.0,51.0,52.0,53.0,48.0,52.0,53.0,56.0,53.0,54.0,54.0,51.0,56.0,53.0,55.0,54.0,54.0,53.0,52.0
54,53,54.0,51.0,49.0,53.0,51.0,51.0,52.0,55.0,51.0,52.0,52.0,54.0,52.0,50.0,52.0,54.0,52.0,52.0,53.0,52.0
55,54,52.0,51.0,56.0,54.0,53.0,53.0,51.0,52.0,54.0,53.0,53.0,53.0,53.0,49.0,53.0,53.0,53.0,53.0,53.0,50.0
56,55,52.0,52.0,54.0,55.0,55.0,54.0,52.0,52.0,55.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,51.0,51.0,54.0,51.0
57,56,51.0,54.0,50.0,53.0,54.0,49.0,54.0,52.0,51.0,54.0,54.0,52.0,51.0,53.0,54.0,54.0,52.0,54.0,53.0,49.0
58,57,54.0,52.0,51.0,52.0,54.0,52.0,51.0,52.0,52.0,52.0,53.0,52.0,51.0,50.0,53.0,53.0,52.0,54.0,53.0,54.0
59,58,53.0,53.0,55.0,52.0,52.0,54.0,53.0,54.0,52.0,51.0,49.0,54.0,52.0,51.0,54.0,54.0,52.0,54.0,53.0,51.0
60,59,51.0,51.0,53.0,54.0,52.0,52.0,51.0,51.0,54.0,52.0,52.0,55.0,54.0,53.0,54.0,51.0,54.0,54.0,52.0,51.0
61,60,52.0,51.0,50.0,51.0,52.0,50.0,54.0,55.0,52.0,53.0,50.0,53.0,51.0,51.0,54.0,51.0,51.0,51.0,53.0,54.0
62,61,54.0,52.0,54.0,54.0,51.0,54.0,53.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,54.0,53.0,53.0,53.0,53.0,51.0
63,62,51.0,52.0,54.0,52.0,55.0,54.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,54.0,50.0,54.0,56.0
64,63,53.0,54.0,52.0,54.0,54.0,50.0,52.0,52.0,52.0,54.0,53.0,51.0,53.0,54.0,53.0,54.0,53.0,51.0,52.0,54.0
65,64,53.0,54.0,53.0,53.0,53.0,51.0,54.0,51.0,53.0,54.0,54.0,51.0,53.0,52.0,52.0,52.0,54.0,53.0,50.0,56.0
66,65,53.0,53.0,54.0,54.0,56.0,56.0,52.0,54.0,52.0,53.0,51.0,52.0,51.0,52.0,52.0,54.0,51.0,52.0,53.0,56.0
67,66,54.0,53.0,52.0,53.0,54.0,53.0,52.0,53.0,52.0,53.0,52.0,51.0,54.0,54.0,53.0,52.0,51.0,53.0,53.0,53.0
68,67,54.0,53.0,51.0,52.0,54.0,48.0,52.0,51.0,54.0,52.0,51.0,54.0,53.0,54.0,53.0,54.0,53.0,52.0,52.0,54.0
69,68,52.0,54.0,53.0,53.0,51.0,54.0,52.0,54.0,51.0,51.0,50.0,52.0,51.0,50.0,52.0,55.0,52.0,53.0,53.0,55.0
70,69,51.0,53.0,56.0,53.0,53.0,54.0,53.0,53.0,55.0,53.0,53.0,54.0,52.0,52.0,52.0,53.0,52.0,54.0,54.0,55.0
71,70,55.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,55.0,50.0,52.0,52.0,55.0,53.0,52.0
72,71,53.0,54.0,51.0,51.0,54.0,49.0,52.0,52.0,53.0,52.0,54.0,52.0,54.0,53.0,51.0,53.0,55.0,54.0,51.0,52.0
73,72,54.0,53.0,53.0,52.0,54.0,55.0,53.0,52.0,52.0,53.0,52.0,51.0,51.0,50.0,51.0,51.0,53.0,55.0,51.0,53.0
74,73,53.0,52.0,52.0,51.0,53.0,53.0,53.0,55.0,52.0,52.0,52.0,52.0,50.0,51.0,54.0,55.0,52.0,52.0,52.0,52.0
75,74,52.0,52.0,53.0,54.0,51.0,49.0,53.0,53.0,52.0,55.0,54.0,54.0,52.0,55.0,51.0,52.0,53.0,54.0,52.0,53.0
76,75,52.0,54.0,51.0,51.0,52.0,52.0,54.0,53.0,54.0,55.0,50.0,53.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0,51.0
77,76,54.0,54.0,54.0,53.0,51.0,53.0,53.0,50.0,54.0,53.0,54.0,53.0,52.0,51.0,54.0,53.0,54.0,54.0,51.0,51.0
78,77,51.0,52.0,51.0,54.0,53.0,53.0,53.0,52.0,52.0,54.0,53.0,54.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0
79,78,50.0,52.0,49.0,52.0,53.0,50.0,54.0,55.0,51.0,52.0,53.0,53.0,53.0,55.0,53.0,53.0,52.0,52.0,53.0,52.0
80,79,53.0,53.0,54.0,54.0,54.0,53.0,52.0,52.0,53.0,53.0,54.0,52.0,52.0,51.0,54.0,53.0,52.0,55.0,52.0,52.0
81,80,52.0,51.0,54.0,53.0,53.0,53.0,55.0,52.0,52.0,54.0,53.0,51.0,50.0,51.0,54.0,52.0,52.0,52.0,52.0,54.0
82,81,52.0,53.0,50.0,55.0,52.0,51.0,52.0,52.0,52.0,54.0,54.0,53.0,52.0,53.0,54.0,53.0,53.0,54.0,52.0,53.0
83,82,54.0,51.0,50.0,53.0,53.0,50.0,51.0,52.0,52.0,53.0,51.0,54.0,51.0,52.0,54.0,53.0,52.0,53.0,51.0,50.0
84,83,54.0,54.0,54.0,53.0,52.0,54.0,56.0,52.0,52.0,51.0,52.0,51.0,53.0,51.0,52.0,54.0,51.0,53.0,52.0,51.0
85,84,53.0,52.0,54.0,52.0,52.0,52.0,51.0,52.0,53.0,52.0,55.0,53.0,52.0,53.0,53.0,54.0,54.0,53.0,52.0,50.0
86,85,54.0,53.0,50.0,49.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,53.0,50.0,53.0,53.0,55.0,53.0,52.0,52.0,50.0
87,86,53.0,53.0,53.0,52.0,52.0,54.0,54.0,52.0,52.0,54.0,53.0,53.0,54.0,55.0,55.0,55.0,53.0,54.0,53.0,51.0
88,87,54.0,54.0,56.0,53.0,52.0,55.0,54.0,54.0,54.0,53.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,53.0,52.0,54.0
89,88,52.0,53.0,51.0,53.0,53.0,54.0,53.0,52.0,54.0,51.0,53.0,53.0,54.0,54.0,52.0,54.0,54.0,52.0,52.0,54.0
90,89,53.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,55.0,53.0,52.0,54.0,53.0,53.0,53.0,54.0,51.0,53.0
91,90,55.0,52.0,58.0,50.0,53.0,54.0,54.0,54.0,53.0,54.0,52.0,54.0,55.0,54.0,52.0,51.0,53.0,54.0,52.0,53.0
92,91,52.0,50.0,55.0,53.0,52.0,53.0,53.0,51.0,52.0,53.0,54.0,51.0,54.0,54.0,53.0,55.0,54.0,54.0,52.0,53.0
93,92,54.0,52.0,51.0,54.0,53.0,52.0,54.0,52.0,52.0,54.0,55.0,53.0,54.0,53.0,55.0,51.0,54.0,53.0,54.0,52.0
94,93,54.0,52.0,54.0,52.0,54.0,52.0,52.0,54.0,53.0,52.0,53.0,53.0,53.0,56.0,52.0,53.0,52.0,52.0,51.0,51.0
95,94,54.0,52.0,57.0,53.0,50.0,51.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,55.0,54.0,52.0,53.0,53.0,52.0,53.0
96,95,54.0,52.0,52.0,53.0,54.0,54.0,53.0,54.0,54.0,50.0,53.0,53.0,51.0,53.0,51.0,52.0,52.0,52.0,53.0,53.0
97,96,53.0,51.0,50.0,53.0,51.0,53.0,54.0,53.0,51.0,54.0,54.0,52.0,51.0,54.0,52.0,54.0,54.0,53.0,53.0,53.0
98,97,54.0,55.0,55.0,52.0,52.0,55.0,53.0,53.0,52.0,53.0,53.0,54.0,50.0,55.0,53.0,52.0,53.0,53.0,54.0,52.0
99,98,54.0,53.0,56.0,50.0,54.0,52.0,53.0,51.0,51.0,53.0,53.0,51.0,50.0,53.0,54.0,54.0,53.0,52.0,51.0,53.0
100,99,54.0,53.0,50.0,54.0,52.0,52.0,52.0,54.0,52.0,53.0,54.0,52.0,51.0,53.0,55.0,53.0,53.0,53.0,51.0,51.0
101,100,52.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,51.0,51.0,52.0,53.0,52.0,54.0,51.0,53.0,55.0,50.0
102,101,53.0,53.0,54.0,51.0,52.0,51.0,54.0,53.0,52.0,55.0,54.0,52.0,54.0,55.0,54.0,54.0,53.0,52.0,54.0,53.0
103,102,33.0,51.0,52.0,17.0,51.0,51.0,45.0,49.0,52.0,15.0,42.0,12.0,28.0,20.0,45.0,45.0,48.0,48.0,46.0,51.0
104,103,-127.0,-2.0,-32.0,-127.0,-97.0,-48.0,-103.0,-98.0,-12.0,-127.0,-127.0,-127.0,-127.0,-127.0,-121.0,-50.0,-81.0,-98.0,-100.0,-46.0
105,104,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0
106,105,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0
107,106,-127.0,-127.0,-124.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-61.0,-127.0,-127.0,-127.0,-127.0
108,107,-70.0,-127.0,-4.0,-127.0,-127.0,-127.0,-75.0,-110.0,-127.0,-46.0,-82.0,-73.0,-127.0,-39.0,-73.0,12.0,-75.0,-127.0,-127.0,-127.0
109,108,-11.0,-68.0,30.0,-52.0,-127.0,-72.0,-11.0,-26.0,-40.0,-13.0,-10.0,-17.0,-127.0,-4.0,-13.0,27.0,-23.0,-32.0,-34.0,-88.0
110,109,15.0,-10.0,38.0,14.0,-98.0,-15.0,17.0,13.0,-5.0,35.0,23.0,34.0,-127.0,30.0,23.0,35.0,7.0,3.0,6.0,-31.0
111,110,37.0,27.0,43.0,45.0,16.0,40.0,50.0,47.0,37.0,47.0,48.0,40.0,-23.0,46.0,50.0,48.0,43.0,43.0,40.0,26.0
112,111,2.0,35.0,37.0,-13.0,13.0,29.0,26.0,25.0,36.0,-1.0,20.0,-3.0,-108.0,3.0,21.0,39.0,24.0,24.0,20.0,24.0
113,112,-14.0,-6.0,29.0,-30.0,-97.0,-27.0,-1.0,-4.0,-5.0,-2.0,-4.0,-1.0,-127.0,-6.0,-7.0,32.0,-1.0,-20.0,-3.0,-29.0
114,113,22.0,3.0,36.0,15.0,-62.0,-13.0,23.0,23.0,3.0,35.0,25.0,29.0,-127.0,29.0,26.0,39.0,29.0,9.0,20.0,-9.0
115,114,30.0,30.0,43.0,27.0,16.0,26.0,36.0,38.0,34.0,39.0,39.0,30.0,-45.0,40.0,39.0,44.0,39.0,31.0,33.0,26.0
116,115,36.0,30.0,43.0,33.0,9.0,28.0,37.0,40.0,34.0,37.0,39.0,40.0,-65.0,45.0,40.0,46.0,39.0,29.0,37.0,25.0
117,116,47.0,38.0,51.0,47.0,23.0,39.0,45.0,46.0,39.0,45.0,46.0,50.0,3.0,49.0,46.0,51.0,47.0,41.0,43.0,37.0
118,117,48.0,48.0,54.0,47.0,47.0,49.0,50.0,51.0,49.0,46.0,49.0,48.0,31.0,52.0,45.0,51.0,50.0,47.0,46.0,49.0
119,118,52.0,51.0,52.0,52.0,45.0,49.0,50.0,49.0,47.0,53.0,52.0,50.0,28.0,52.0,49.0,51.0,48.0,44.0,51.0,48.0
120,119,51.0,52.0,53.0,50.0,51.0,54.0,49.0,48.0,49.0,49.0,53.0,50.0,48.0,48.0,51.0,54.0,51.0,51.0,49.0,52.0
121,120,42.0,48.0,51.0,40.0,39.0,46.0,45.0,42.0,47.0,40.0,45.0,44.0,8.0,39.0,44.0,50.0,45.0,46.0,43.0,47.0
122,121,44.0,46.0,51.0,48.0,26.0,39.0,45.0,46.0,42.0,45.0,49.0,51.0,4.0,44.0,49.0,50.0,44.0,44.0,44.0,43.0
123,122,54.0,50.0,54.0,58.0,47.0,49.0,53.0,56.0,48.0,57.0,56.0,57.0,55.0,54.0,54.0,54.0,53.0,51.0,52.0,50.0
124,123,52.0,54.0,54.0,57.0,59.0,58.0,55.0,55.0,55.0,53.0,56.0,51.0,65.0,56.0,54.0,56.0,56.0,54.0,55.0,55.0
125,124,45.0,51.0,50.0,42.0,46.0,51.0,48.0,49.0,52.0,39.0,46.0,42.0,17.0,45.0,46.0,53.0,48.0,46.0,47.0,48.0
126,125,44.0,41.0,46.0,43.0,25.0,40.0,46.0,44.0,42.0,45.0,43.0,47.0,-19.0,46.0,42.0,51.0,44.0,42.0,45.0,37.0
127,126,59.0,49.0,52.0,66.0,47.0,50.0,58.0,57.0,50.0,65.0,58.0,59.0,67.0,56.0,58.0,57.0,56.0,56.0,55.0,50.0
128,127,59.0,61.0,55.0,57.0,77.0,66.0,59.0,59.0,62.0,52.0,55.0,52.0,100.0,52.0,56.0,56.0,60.0,62.0,57.0,65.0
129,128,39.0,50.0,48.0,35.0,41.0,46.0,44.0,46.0,51.0,37.0,41.0,39.0,-4.0,39.0,44.0,49.0,44.0,43.0,46.0,47.0
130,129,46.0,40.0,48.0,48.0,23.0,36.0,47.0,46.0,43.0,52.0,49.0,54.0,-2.0,50.0,47.0,51.0,48.0,43.0,46.0,39.0
131,130,57.0,55.0,55.0,58.0,62.0,54.0,59.0,55.0,56.0,56.0,59.0,57.0,89.0,58.0,57.0,55.0,59.0,59.0,56.0,55.0
132,131,49.0,56.0,54.0,50.0,62.0,57.0,53.0,50.0,58.0,48.0,54.0,48.0,54.0,48.0,52.0,52.0,53.0,53.0,50.0,55.0
133,132,49.0,47.0,52.0,43.0,38.0,46.0,48.0,49.0,50.0,48.0,49.0,47.0,9.0,50.0,45.0,50.0,46.0,46.0,48.0,44.0
134,133,49.0,49.0,50.0,50.0,42.0,46.0,51.0,51.0,48.0,52.0,50.0,50.0,33.0,52.0,49.0,47.0,51.0,48.0,52.0,43.0
135,134,55.0,54.0,54.0,60.0,55.0,52.0,55.0,55.0,51.0,56.0,55.0,53.0,64.0,56.0,54.0,3.0,54.0,53.0,52.0,51.0
136,135,54.0,55.0,52.0,49.0,59.0,56.0,54.0,51.0,54.0,51.0,53.0,51.0,57.0,53.0,55.0,-46.0,52.0,56.0,53.0,54.0
137,136,47.0,51.0,52.0,44.0,41.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,13.0,48.0,48.0,-28.0,49.0,47.0,48.0,46.0
138,137,50.0,50.0,53.0,54.0,45.0,52.0,56.0,52.0,50.0,57.0,54.0,55.0,42.0,54.0,52.0,12.0,56.0,46.0,52.0,48.0
139,138,54.0,56.0,56.0,51.0,56.0,55.0,53.0,53.0,54.0,51.0,52.0,50.0,62.0,52.0,52.0,36.0,56.0,53.0,53.0,53.0
140,139,47.0,50.0,52.0,49.0,43.0,49.0,48.0,49.0,50.0,51.0,50.0,49.0,23.0,49.0,48.0,42.0,51.0,48.0,50.0,47.0
141,140,49.0,49.0,50.0,54.0,46.0,50.0,52.0,53.0,50.0,57.0,53.0,53.0,41.0,56.0,52.0,48.0,52.0,51.0,54.0,48.0
142,141,52.0,53.0,52.0,52.0,58.0,56.0,53.0,54.0,54.0,52.0,52.0,50.0,59.0,51.0,53.0,52.0,52.0,55.0,52.0,55.0
143,142,51.0,48.0,53.0,49.0,47.0,52.0,50.0,51.0,49.0,48.0,51.0,50.0,32.0,52.0,52.0,45.0,52.0,48.0,52.0,50.0
144,143,49.0,47.0,51.0,52.0,46.0,50.0,53.0,52.0,48.0,51.0,53.0,51.0,38.0,53.0,51.0,45.0,52.0,46.0,51.0,49.0
145,144,54.0,52.0,50.0,52.0,54.0,53.0,53.0,53.0,53.0,51.0,52.0,52.0,55.0,52.0,54.0,49.0,52.0,51.0,53.0,53.0
146,145,54.0,50.0,52.0,51.0,54.0,55.0,53.0,50.0,53.0,52.0,51.0,52.0,51.0,52.0,52.0,49.0,53.0,53.0,53.0,51.0
147,146,49.0,51.0,53.0,46.0,50.0,52.0,50.0,51.0,52.0,49.0,49.0,49.0,37.0,50.0,48.0,52.0,50.0,50.0,50.0,49.0
148,147,48.0,49.0,51.0,47.0,44.0,50.0,48.0,50.0,48.0,50.0,51.0,52.0,25.0,51.0,46.0,51.0,49.0,49.0,51.0,48.0
149,148,55.0,50.0,55.0,57.0,52.0,52.0,53.0,55.0,51.0,55.0,54.0,57.0,56.0,54.0,55.0,55.0,55.0,55.0,55.0,52.0
150,149,53.0,55.0,53.0,50.0,58.0,55.0,54.0,53.0,56.0,51.0,54.0,52.0,60.0,50.0,53.0,50.0,54.0,56.0,54.0,53.0
151,150,49.0,51.0,50.0,48.0,45.0,50.0,51.0,51.0,51.0,50.0,49.0,50.0,29.0,50.0,47.0,52.0,50.0,47.0,49.0,47.0
152,151,53.0,51.0,52.0,53.0,46.0,50.0,52.0,53.0,49.0,54.0,52.0,53.0,43.0,52.0,52.0,52.0,52.0,51.0,48.0,48.0
153,152,57.0,52.0,50.0,50.0,52.0,54.0,54.0,52.0,53.0,51.0,53.0,54.0,57.0,51.0,54.0,53.0,53.0,53.0,52.0,54.0
154,153,53.0,53.0,52.0,54.0,51.0,52.0,51.0,50.0,53.0,53.0,53.0,53.0,50.0,50.0,52.0,54.0,52.0,52.0,51.0,52.0
155,154,52.0,52.0,53.0,52.0,51.0,52.0,51.0,51.0,52.0,52.0,52.0,51.0,44.0,48.0,50.0,49.0,52.0,52.0,51.0,51.0
156,155,49.0,52.0,53.0,50.0,48.0,48.0,54.0,50.0,50.0,51.0,50.0,51.0,39.0,49.0,50.0,50.0,52.0,49.0,51.0,51.0
157,156,53.0,51.0,52.0,51.0,50.0,52.0,52.0,51.0,50.0,52.0,53.0,55.0,46.0,55.0,52.0,54.0,52.0,52.0,51.0,50.0
158,157,50.0,52.0,54.0,50.0,55.0,54.0,52.0,51.0,52.0,50.0,52.0,52.0,55.0,52.0,52.0,53.0,53.0,54.0,51.0,54.0
159,158,51.0,53.0,53.0,52.0,50.0,52.0,53.0,52.0,51.0,51.0,51.0,51.0,45.0,51.0,51.0,51.0,52.0,52.0,51.0,50.0
160,159,53.0,51.0,53.0,52.0,52.0,51.0,54.0,52.0,53.0,51.0,53.0,52.0,48.0,52.0,53.0,47.0,52.0,52.0,50.0,53.0
