,peak_X0,peak_Y0
event_490,104.0,-70.8
event_491,103.0,-70.8
event_492,103.0,-47.199999999999996
event_493,104.0,-62.400000000000006
event_494,104.0,-70.8
event_495,104.0,-70.8
event_496,104.0,-70.8
event_497,103.0,-44.8
event_498,103.0,-70.8
event_499,104.0,-70.8
event_500,104.0,-70.8
event_501,104.0,-70.8
event_502,104.0,-70.8
event_503,103.0,-70.8
event_504,104.0,-70.8
event_505,104.0,-70.8
event_506,104.0,-52.8
event_507,105.0,-70.8
event_508,104.0,-63.2
event_509,103.0,-66.0
event_510,104.0,-67.60000000000001
event_511,103.0,-70.8
event_512,104.0,-45.2
event_513,103.0,-58.800000000000004
event_514,103.0,-59.6
event_515,103.0,-69.2
event_516,103.0,-61.6
event_517,104.0,-70.8
event_518,104.0,-70.8
event_519,104.0,-59.6
event_520,103.0,-70.8
event_521,103.0,-70.8
event_522,104.0,-70.8
event_523,103.0,-67.60000000000001
event_524,104.0,-68.4
event_525,103.0,-51.2
event_526,104.0,-70.8
event_527,103.0,-70.8
event_528,103.0,-58.800000000000004
event_529,103.0,-58.800000000000004
event_530,104.0,-70.8
event_531,104.0,-70.8
event_532,103.0,-70.8
event_533,103.0,-58.0
event_534,103.0,-68.8
event_535,104.0,-56.0
event_536,104.0,-70.8
event_537,104.0,-70.8
event_538,104.0,-53.6
event_539,104.0,-70.8
event_540,103.0,-53.2
event_541,104.0,-70.8
event_542,103.0,-70.8
event_543,104.0,-70.8
event_544,104.0,-70.8
event_545,103.0,-51.6
event_546,103.0,-46.0
event_547,104.0,-70.8
event_548,104.0,-67.2
event_549,103.0,-62.0
event_550,103.0,-66.4
event_551,103.0,-44.4
event_552,103.0,-69.2
event_553,103.0,-70.8
event_554,103.0,-59.6
event_555,104.0,-70.8
event_556,103.0,-70.8
event_557,103.0,-50.800000000000004
event_558,103.0,-70.8
event_559,104.0,-70.8
event_560,104.0,-70.8
event_561,104.0,-70.8
event_562,103.0,-70.8
event_563,103.0,-63.2
event_564,103.0,-70.8
event_565,103.0,-54.800000000000004
event_566,104.0,-54.800000000000004
event_567,104.0,-62.0
event_568,103.0,-49.60000000000001
event_569,103.0,-70.8
event_570,103.0,-70.8
event_571,103.0,-44.8
event_572,103.0,-47.199999999999996
event_573,103.0,-70.8
event_574,104.0,-70.8
event_575,103.0,-62.80000000000001
event_576,104.0,-70.8
event_577,104.0,-70.8
event_578,104.0,-70.8
event_579,103.0,-70.8
event_580,103.0,-70.8
event_581,103.0,-70.8
event_582,103.0,-70.8
event_583,104.0,-68.0
event_584,104.0,-52.8
event_585,103.0,-48.0
event_586,103.0,-54.0
event_587,104.0,-70.8
event_588,103.0,-69.60000000000001
event_589,103.0,-43.2
event_590,104.0,-70.8
event_591,103.0,-70.8
event_592,104.0,-70.8
event_593,104.0,-70.8
event_594,104.0,-70.8
event_595,104.0,-68.4
event_596,103.0,-52.00000000000001
event_597,103.0,-54.0
event_598,103.0,-70.8
event_599,103.0,-61.6
event_600,105.0,-70.8
event_601,103.0,-65.2
event_602,103.0,-70.8
event_603,104.0,-70.8
event_604,103.0,-70.8
event_605,104.0,-62.400000000000006
event_606,104.0,-55.2
event_607,104.0,-70.8
event_608,103.0,-44.00000000000001
event_609,104.0,-58.0
event_610,104.0,-70.8
event_611,104.0,-54.400000000000006
event_612,103.0,-65.2
event_613,104.0,-70.8
event_614,104.0,-64.8
event_615,102.0,-42.4
event_616,104.0,-70.8
event_617,104.0,-70.8
event_618,103.0,-57.60000000000001
event_619,103.0,-57.2
event_620,104.0,-70.8
event_621,104.0,-70.8
event_622,104.0,-70.8
event_623,104.0,-70.8
event_624,104.0,-70.8
event_625,103.0,-49.60000000000001
event_626,103.0,-46.0
event_627,104.0,-70.8
event_628,103.0,-67.60000000000001
event_629,105.0,-70.8
event_630,104.0,-70.8
