,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22
1909,51.0,54.0,52.0,52.0,53.0,50.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,53.0,54.0,54.0,51.0,52.0,51.0,57.0,52.0,51.0,52.0
1910,52.0,51.0,52.0,53.0,52.0,50.0,52.0,52.0,52.0,50.0,53.0,51.0,52.0,54.0,50.0,54.0,54.0,54.0,53.0,54.0,50.0,53.0,51.0
1911,54.0,50.0,51.0,55.0,52.0,53.0,52.0,51.0,50.0,53.0,53.0,53.0,53.0,53.0,52.0,54.0,54.0,53.0,51.0,50.0,53.0,52.0,51.0
1912,52.0,52.0,52.0,53.0,53.0,50.0,53.0,53.0,53.0,54.0,52.0,55.0,55.0,51.0,53.0,52.0,54.0,52.0,50.0,53.0,51.0,52.0,52.0
1913,53.0,50.0,51.0,51.0,52.0,49.0,53.0,51.0,52.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,55.0,51.0,50.0,52.0
1914,53.0,53.0,50.0,51.0,54.0,52.0,51.0,52.0,53.0,54.0,53.0,53.0,52.0,52.0,54.0,51.0,54.0,54.0,53.0,52.0,53.0,53.0,50.0
1915,52.0,54.0,52.0,51.0,51.0,54.0,53.0,55.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,53.0,55.0,53.0,53.0,49.0,53.0,53.0,52.0
1916,52.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,51.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,55.0,53.0,51.0,54.0,53.0,51.0,52.0
1917,52.0,53.0,53.0,52.0,55.0,52.0,54.0,52.0,51.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,54.0,51.0,54.0,55.0,53.0,52.0,54.0
1918,53.0,50.0,53.0,54.0,52.0,54.0,53.0,51.0,54.0,52.0,54.0,53.0,52.0,52.0,53.0,53.0,53.0,54.0,53.0,50.0,53.0,53.0,52.0
1919,52.0,53.0,53.0,54.0,50.0,52.0,50.0,51.0,52.0,54.0,54.0,52.0,51.0,54.0,52.0,53.0,53.0,52.0,53.0,49.0,52.0,51.0,52.0
1920,51.0,51.0,53.0,52.0,55.0,49.0,53.0,51.0,52.0,53.0,53.0,51.0,53.0,53.0,54.0,55.0,53.0,53.0,53.0,53.0,51.0,52.0,53.0
1921,55.0,53.0,52.0,52.0,51.0,49.0,52.0,53.0,52.0,51.0,52.0,52.0,54.0,53.0,54.0,52.0,53.0,55.0,53.0,53.0,51.0,53.0,52.0
1922,51.0,52.0,54.0,53.0,51.0,52.0,53.0,52.0,53.0,52.0,55.0,52.0,51.0,53.0,51.0,52.0,52.0,53.0,55.0,50.0,54.0,53.0,53.0
1923,51.0,49.0,55.0,54.0,52.0,54.0,51.0,51.0,52.0,53.0,55.0,52.0,53.0,53.0,54.0,56.0,52.0,54.0,53.0,50.0,52.0,52.0,53.0
1924,54.0,52.0,53.0,51.0,55.0,53.0,51.0,50.0,52.0,54.0,53.0,54.0,53.0,52.0,54.0,52.0,52.0,54.0,52.0,55.0,52.0,51.0,53.0
1925,54.0,52.0,54.0,52.0,49.0,53.0,53.0,55.0,54.0,53.0,53.0,53.0,51.0,52.0,53.0,53.0,53.0,53.0,55.0,54.0,52.0,50.0,52.0
1926,52.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,51.0,54.0,53.0,52.0,53.0,53.0,50.0,53.0,50.0,52.0
1927,52.0,51.0,54.0,53.0,54.0,51.0,51.0,52.0,52.0,53.0,55.0,52.0,53.0,53.0,51.0,51.0,53.0,55.0,55.0,55.0,52.0,51.0,53.0
1928,54.0,51.0,54.0,52.0,52.0,52.0,52.0,54.0,50.0,52.0,51.0,53.0,52.0,51.0,55.0,56.0,53.0,52.0,54.0,54.0,52.0,54.0,54.0
1929,53.0,53.0,54.0,50.0,52.0,55.0,53.0,52.0,49.0,53.0,52.0,51.0,54.0,51.0,54.0,52.0,54.0,55.0,51.0,51.0,54.0,53.0,53.0
1930,51.0,52.0,54.0,53.0,55.0,55.0,53.0,54.0,51.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,52.0
1931,51.0,54.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,52.0,55.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,51.0,53.0,53.0,53.0,53.0
1932,52.0,51.0,52.0,53.0,52.0,54.0,52.0,52.0,54.0,55.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0
1933,53.0,52.0,52.0,52.0,53.0,51.0,51.0,53.0,54.0,54.0,53.0,53.0,51.0,54.0,51.0,52.0,52.0,51.0,52.0,51.0,54.0,52.0,53.0
1934,53.0,54.0,53.0,53.0,54.0,52.0,52.0,53.0,51.0,52.0,53.0,54.0,52.0,54.0,55.0,53.0,53.0,52.0,50.0,55.0,53.0,51.0,53.0
1935,52.0,53.0,52.0,52.0,49.0,53.0,52.0,53.0,53.0,55.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0,51.0,53.0,55.0,53.0,54.0,51.0
1936,49.0,52.0,52.0,50.0,51.0,53.0,51.0,53.0,52.0,54.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,51.0,52.0,54.0,54.0,52.0,51.0
1937,51.0,52.0,52.0,54.0,54.0,54.0,51.0,53.0,52.0,54.0,53.0,54.0,54.0,50.0,53.0,52.0,50.0,54.0,54.0,53.0,51.0,54.0,54.0
1938,53.0,51.0,52.0,55.0,52.0,51.0,53.0,54.0,52.0,52.0,52.0,52.0,51.0,51.0,56.0,54.0,52.0,53.0,51.0,54.0,53.0,52.0,53.0
1939,52.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,54.0,50.0,53.0,54.0,52.0,52.0,51.0,53.0,54.0,53.0,53.0,52.0,51.0,53.0
1940,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0,53.0,51.0,52.0,51.0,52.0,54.0,51.0,51.0,51.0,51.0,52.0
1941,49.0,53.0,51.0,53.0,52.0,51.0,51.0,53.0,51.0,54.0,53.0,52.0,52.0,51.0,54.0,51.0,53.0,53.0,52.0,52.0,54.0,52.0,53.0
1942,52.0,54.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,51.0,55.0,54.0,52.0,51.0,53.0,52.0,51.0,52.0,53.0,55.0,53.0,52.0,53.0
1943,52.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,53.0,53.0,50.0,53.0,53.0,53.0,54.0,54.0,53.0,50.0,51.0,52.0,50.0
1944,53.0,53.0,52.0,52.0,55.0,52.0,52.0,52.0,53.0,55.0,54.0,53.0,53.0,53.0,54.0,51.0,53.0,54.0,53.0,51.0,51.0,51.0,51.0
1945,52.0,53.0,52.0,53.0,53.0,55.0,53.0,52.0,53.0,50.0,56.0,52.0,53.0,53.0,52.0,51.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0
1946,51.0,51.0,52.0,51.0,51.0,55.0,51.0,51.0,51.0,53.0,52.0,54.0,52.0,54.0,50.0,52.0,52.0,54.0,52.0,56.0,52.0,52.0,52.0
1947,51.0,51.0,53.0,53.0,53.0,54.0,51.0,51.0,53.0,57.0,52.0,52.0,52.0,50.0,52.0,52.0,54.0,56.0,53.0,52.0,52.0,53.0,53.0
1948,51.0,51.0,51.0,55.0,52.0,53.0,51.0,50.0,50.0,54.0,54.0,52.0,51.0,51.0,55.0,51.0,53.0,54.0,53.0,50.0,53.0,50.0,53.0
1949,52.0,54.0,53.0,51.0,52.0,53.0,53.0,53.0,51.0,50.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,50.0,52.0,55.0,51.0,50.0,53.0
1950,49.0,51.0,51.0,52.0,51.0,56.0,53.0,53.0,52.0,51.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,53.0,53.0,54.0,52.0,54.0,52.0
1951,52.0,49.0,52.0,53.0,54.0,53.0,50.0,52.0,51.0,56.0,52.0,53.0,53.0,53.0,54.0,52.0,50.0,54.0,53.0,51.0,52.0,52.0,52.0
1952,52.0,54.0,53.0,53.0,53.0,53.0,54.0,52.0,53.0,55.0,54.0,52.0,54.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,52.0,53.0,55.0
1953,53.0,52.0,52.0,49.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,53.0,54.0,52.0,51.0,55.0,55.0,55.0,53.0,54.0,52.0,54.0,52.0
1954,52.0,51.0,53.0,50.0,52.0,51.0,51.0,53.0,49.0,53.0,52.0,54.0,52.0,49.0,52.0,53.0,53.0,54.0,55.0,52.0,53.0,53.0,53.0
1955,52.0,51.0,53.0,53.0,53.0,56.0,53.0,52.0,50.0,56.0,54.0,51.0,51.0,52.0,55.0,55.0,53.0,53.0,54.0,51.0,52.0,53.0,54.0
1956,52.0,52.0,53.0,50.0,53.0,54.0,51.0,51.0,51.0,48.0,52.0,53.0,53.0,54.0,54.0,56.0,52.0,54.0,52.0,55.0,51.0,52.0,52.0
1957,51.0,50.0,53.0,51.0,54.0,54.0,54.0,52.0,54.0,52.0,53.0,54.0,54.0,53.0,52.0,54.0,53.0,51.0,54.0,55.0,55.0,52.0,53.0
1958,52.0,53.0,53.0,51.0,53.0,53.0,53.0,50.0,52.0,58.0,51.0,53.0,54.0,51.0,54.0,52.0,54.0,53.0,53.0,50.0,52.0,51.0,53.0
1959,54.0,52.0,52.0,51.0,53.0,52.0,51.0,51.0,52.0,54.0,54.0,53.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,54.0,52.0,51.0,52.0
1960,50.0,50.0,52.0,53.0,52.0,52.0,53.0,50.0,52.0,47.0,55.0,54.0,53.0,52.0,52.0,53.0,53.0,54.0,53.0,55.0,53.0,53.0,53.0
1961,51.0,52.0,53.0,51.0,53.0,51.0,53.0,52.0,53.0,55.0,52.0,53.0,55.0,52.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0
1962,50.0,53.0,56.0,53.0,55.0,52.0,51.0,53.0,52.0,56.0,54.0,54.0,52.0,53.0,54.0,54.0,53.0,52.0,53.0,51.0,52.0,55.0,52.0
1963,53.0,53.0,54.0,52.0,53.0,53.0,52.0,51.0,51.0,53.0,52.0,51.0,52.0,54.0,52.0,53.0,54.0,54.0,53.0,53.0,54.0,52.0,53.0
1964,52.0,53.0,54.0,51.0,53.0,52.0,51.0,53.0,53.0,50.0,52.0,52.0,54.0,53.0,50.0,53.0,51.0,51.0,52.0,55.0,53.0,52.0,52.0
1965,51.0,51.0,54.0,53.0,53.0,54.0,51.0,52.0,53.0,52.0,52.0,54.0,52.0,52.0,53.0,55.0,53.0,53.0,52.0,50.0,52.0,52.0,52.0
1966,50.0,53.0,52.0,53.0,53.0,51.0,53.0,51.0,53.0,56.0,52.0,52.0,54.0,54.0,52.0,53.0,52.0,55.0,52.0,50.0,52.0,51.0,51.0
1967,52.0,53.0,53.0,53.0,53.0,51.0,55.0,52.0,52.0,52.0,55.0,53.0,51.0,52.0,51.0,53.0,54.0,52.0,54.0,54.0,49.0,53.0,54.0
1968,53.0,52.0,52.0,51.0,55.0,51.0,51.0,53.0,51.0,49.0,53.0,54.0,53.0,52.0,54.0,54.0,54.0,53.0,53.0,52.0,52.0,53.0,53.0
1969,52.0,51.0,54.0,53.0,54.0,54.0,53.0,54.0,52.0,56.0,53.0,52.0,54.0,53.0,53.0,54.0,53.0,54.0,51.0,48.0,53.0,52.0,53.0
1970,51.0,52.0,51.0,53.0,51.0,52.0,50.0,50.0,54.0,55.0,52.0,51.0,53.0,51.0,53.0,53.0,55.0,53.0,53.0,51.0,51.0,53.0,54.0
1971,54.0,53.0,51.0,50.0,54.0,52.0,51.0,51.0,49.0,49.0,51.0,52.0,53.0,51.0,53.0,53.0,51.0,49.0,53.0,54.0,50.0,52.0,53.0
1972,50.0,50.0,53.0,53.0,51.0,53.0,54.0,53.0,50.0,54.0,53.0,51.0,54.0,52.0,55.0,51.0,54.0,53.0,53.0,52.0,52.0,53.0,54.0
1973,50.0,50.0,52.0,55.0,52.0,52.0,52.0,52.0,52.0,55.0,52.0,52.0,53.0,54.0,53.0,53.0,54.0,55.0,53.0,51.0,52.0,52.0,51.0
1974,52.0,52.0,51.0,54.0,53.0,51.0,52.0,53.0,52.0,54.0,53.0,54.0,53.0,53.0,52.0,54.0,53.0,52.0,54.0,53.0,54.0,52.0,53.0
1975,52.0,53.0,55.0,53.0,53.0,53.0,54.0,52.0,53.0,50.0,52.0,54.0,50.0,52.0,51.0,51.0,54.0,50.0,52.0,53.0,53.0,53.0,55.0
1976,52.0,53.0,52.0,52.0,52.0,51.0,52.0,50.0,51.0,53.0,52.0,52.0,54.0,51.0,53.0,51.0,51.0,53.0,53.0,50.0,52.0,51.0,54.0
1977,54.0,54.0,54.0,55.0,54.0,53.0,53.0,52.0,50.0,56.0,55.0,53.0,52.0,51.0,52.0,53.0,54.0,52.0,54.0,52.0,53.0,54.0,53.0
1978,54.0,53.0,52.0,52.0,52.0,51.0,52.0,52.0,50.0,52.0,52.0,54.0,52.0,53.0,50.0,53.0,52.0,51.0,52.0,52.0,55.0,54.0,52.0
1979,51.0,53.0,52.0,50.0,54.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,52.0,52.0
1980,52.0,52.0,52.0,52.0,54.0,54.0,54.0,52.0,52.0,54.0,54.0,51.0,52.0,52.0,51.0,53.0,54.0,55.0,52.0,52.0,51.0,54.0,53.0
1981,53.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,51.0,55.0,54.0,52.0,52.0,53.0,51.0,53.0,54.0,53.0,54.0,52.0,51.0,52.0,53.0
1982,50.0,51.0,54.0,54.0,51.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,54.0,52.0,53.0,51.0,52.0,54.0,54.0,52.0,54.0
1983,50.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,51.0,50.0,53.0,53.0,54.0,54.0,52.0,52.0,53.0,53.0,51.0,53.0,51.0,52.0,52.0
1984,51.0,53.0,52.0,53.0,53.0,51.0,52.0,51.0,51.0,55.0,54.0,53.0,54.0,54.0,53.0,52.0,53.0,52.0,52.0,53.0,54.0,55.0,53.0
1985,51.0,51.0,51.0,52.0,50.0,52.0,52.0,51.0,53.0,54.0,52.0,50.0,54.0,54.0,51.0,53.0,55.0,53.0,54.0,53.0,53.0,52.0,54.0
1986,50.0,53.0,53.0,52.0,52.0,51.0,51.0,52.0,52.0,50.0,52.0,51.0,55.0,52.0,51.0,53.0,53.0,52.0,53.0,54.0,52.0,52.0,53.0
1987,50.0,51.0,51.0,54.0,51.0,51.0,53.0,55.0,53.0,53.0,53.0,53.0,54.0,51.0,52.0,52.0,55.0,53.0,52.0,50.0,52.0,55.0,53.0
1988,52.0,51.0,52.0,52.0,53.0,50.0,51.0,52.0,53.0,54.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,55.0,54.0,50.0,53.0,53.0,52.0
1989,52.0,52.0,53.0,51.0,55.0,53.0,49.0,52.0,53.0,54.0,52.0,53.0,53.0,55.0,53.0,53.0,55.0,53.0,53.0,52.0,53.0,51.0,53.0
1990,50.0,50.0,54.0,51.0,51.0,54.0,51.0,52.0,50.0,53.0,55.0,51.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,52.0
1991,54.0,53.0,54.0,52.0,54.0,51.0,53.0,52.0,51.0,54.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,54.0,53.0,50.0,52.0,53.0,53.0
1992,52.0,52.0,53.0,52.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0,53.0,53.0,55.0,52.0,52.0,53.0,54.0,53.0
1993,51.0,52.0,53.0,53.0,53.0,52.0,51.0,51.0,52.0,53.0,54.0,52.0,53.0,51.0,54.0,53.0,51.0,53.0,53.0,53.0,54.0,54.0,52.0
1994,52.0,53.0,54.0,52.0,52.0,54.0,51.0,52.0,52.0,54.0,54.0,51.0,54.0,51.0,52.0,54.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0
1995,51.0,52.0,54.0,51.0,54.0,53.0,52.0,53.0,51.0,53.0,55.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,51.0,49.0,52.0,52.0,51.0
1996,54.0,52.0,53.0,53.0,55.0,49.0,53.0,52.0,51.0,53.0,54.0,52.0,51.0,53.0,55.0,52.0,52.0,52.0,51.0,53.0,51.0,52.0,53.0
1997,51.0,51.0,53.0,53.0,52.0,55.0,53.0,51.0,53.0,52.0,55.0,53.0,52.0,50.0,51.0,53.0,52.0,51.0,53.0,52.0,53.0,54.0,53.0
1998,52.0,53.0,54.0,53.0,52.0,51.0,53.0,51.0,52.0,52.0,54.0,50.0,54.0,53.0,51.0,54.0,52.0,52.0,53.0,52.0,51.0,52.0,52.0
1999,53.0,51.0,53.0,53.0,54.0,52.0,53.0,53.0,53.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,52.0,54.0,54.0,52.0,54.0,53.0,52.0
2000,54.0,52.0,51.0,53.0,51.0,53.0,53.0,52.0,53.0,52.0,53.0,50.0,52.0,53.0,53.0,51.0,53.0,54.0,55.0,54.0,53.0,52.0,51.0
2001,53.0,50.0,51.0,50.0,52.0,54.0,52.0,51.0,52.0,53.0,53.0,50.0,53.0,53.0,54.0,51.0,52.0,52.0,54.0,55.0,52.0,51.0,54.0
2002,52.0,52.0,54.0,52.0,52.0,51.0,54.0,53.0,51.0,52.0,52.0,52.0,53.0,52.0,51.0,52.0,54.0,52.0,54.0,51.0,53.0,52.0,53.0
2003,53.0,53.0,51.0,53.0,55.0,51.0,52.0,52.0,51.0,54.0,52.0,54.0,52.0,52.0,51.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,52.0
2004,51.0,53.0,53.0,52.0,54.0,54.0,55.0,53.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,51.0,53.0,54.0
2005,52.0,53.0,52.0,52.0,51.0,55.0,52.0,51.0,52.0,51.0,52.0,51.0,52.0,53.0,53.0,54.0,54.0,52.0,53.0,53.0,51.0,51.0,52.0
2006,54.0,52.0,55.0,54.0,52.0,51.0,54.0,50.0,52.0,53.0,51.0,53.0,54.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,54.0,53.0
2007,53.0,52.0,54.0,54.0,53.0,52.0,53.0,52.0,54.0,53.0,51.0,51.0,53.0,51.0,53.0,53.0,54.0,53.0,54.0,50.0,53.0,54.0,52.0
