,0
event_426,-181.11641359931477
event_427,-203.91641359931478
event_428,-265.1164135993148
event_429,-313.1164135993148
event_430,-275.5164135993148
event_431,-319.11641359931474
event_432,-316.84974693264803
event_433,-237.51641359931477
event_434,-203.5164135993148
event_435,-269.9164135993148
event_436,-200.98308026598147
event_437,-229.51641359931477
event_438,-300.31641359931484
event_439,-159.11641359931482
event_440,-95.78308026598147
event_441,-126.18308026598147
event_442,-436.84974693264803
event_443,-170.58308026598152
event_444,-261.5164135993148
event_445,-330.3164135993148
event_446,-267.91641359931475
event_447,-230.58308026598144
event_448,-182.31641359931479
event_449,-301.7830802659815
event_450,-293.5164135993148
event_451,-126.31641359931479
event_452,-236.18308026598146
event_453,-279.5164135993148
event_454,-160.0497469326481
event_455,-290.04974693264813
event_456,-322.0497469326481
event_457,-279.91641359931475
event_458,-221.78308026598145
event_459,-89.64974693264814
event_460,-249.3830802659814
event_461,-132.98308026598147
event_462,-164.44974693264817
event_463,-335.38308026598133
event_464,-287.38308026598133
event_465,-90.04974693264812
event_466,-252.04974693264816
event_467,-78.44974693264814
event_468,-378.3164135993147
event_469,-277.7830802659814
event_470,-352.71641359931476
event_471,-260.98308026598147
event_472,-84.58308026598148
event_473,-119.1164135993148
event_474,-93.38308026598146
event_475,-123.38308026598148
event_476,-304.58308026598144
event_477,-293.24974693264807
event_478,-93.64974693264814
event_479,-207.64974693264816
event_480,-179.64974693264818
event_481,-160.31641359931484
event_482,-76.98308026598146
event_483,-102.18308026598146
event_484,-283.6497469326481
event_485,-138.7164135993148
event_486,-269.91641359931486
event_487,-155.38308026598148
event_488,-173.7830802659815
event_489,-81.24974693264814
event_490,-278.71641359931476
event_491,-156.71641359931482
event_492,-271.3830802659814
event_493,-248.0497469326481
event_494,-241.7830802659814
event_495,-163.24974693264815
event_496,-160.84974693264815
event_497,-155.24974693264815
event_498,-78.84974693264813
event_499,-270.31641359931484
event_500,-278.04974693264813
event_501,-322.9830802659814
event_502,-407.91641359931475
event_503,-388.0497469326481
event_504,-247.24974693264812
event_505,-232.3164135993148
event_506,-92.71641359931479
event_507,-285.78308026598154
event_508,-212.0497469326481
event_509,-204.18308026598143
event_510,-255.24974693264815
event_511,-127.78308026598147
event_512,-367.38308026598133
event_513,-150.31641359931476
event_514,-113.5164135993148
event_515,-155.78308026598148
event_516,-93.78308026598148
event_517,-78.18308026598147
event_518,-272.7164135993147
event_519,-254.71641359931476
event_520,-281.2497469326481
event_521,-163.64974693264816
event_522,-246.71641359931476
event_523,-174.71641359931476
event_524,-280.71641359931476
event_525,-122.44974693264814
event_526,-354.4497469326481
event_527,-167.5164135993148
event_528,-148.31641359931484
event_529,-348.44974693264805
event_530,-221.24974693264812
event_531,-91.5164135993148
event_532,-302.8497469326481
event_533,-118.18308026598146
event_534,-180.1830802659815
event_535,-254.4497469326481
event_536,-147.38308026598145
event_537,-83.38308026598146
event_538,-331.3830802659815
event_539,-118.58308026598148
event_540,-274.18308026598146
event_541,-295.6497469326481
event_542,-246.71641359931476
event_543,-199.24974693264815
