,energy (MeV)
event_217,-45.02138638753755
event_218,-45.02864987057389
event_219,-45.02106781372016
event_220,-45.03374705165202
event_221,-45.04782801438035
event_222,-45.00367368329105
event_223,-45.03138960540338
event_224,-45.00724171004573
event_225,-45.03610449790065
event_226,-45.01482376689946
event_227,-45.03807965556844
event_228,-45.02336154520532
event_229,-45.009790300584804
event_230,-45.04413255809872
event_231,-45.042221115194415
event_232,-45.03151703493034
event_233,-45.010491162983044
event_234,-45.05891438322529
event_235,-45.04693600769168
event_236,-45.04540685336824
event_237,-45.00762399862659
event_238,-45.027184431013914
event_239,-45.039736239418815
event_240,-45.03451162881374
event_241,-45.06547700386339
event_242,-45.05407206120106
event_243,-45.03642307171804
event_244,-45.06853531251026
event_245,-45.016798924567226
event_246,-45.027120716250444
event_247,-45.00928058247698
event_248,-45.07261305737277
event_249,-45.012084032069964
event_250,-45.030816172532084
event_251,-45.03756993746062
event_252,-45.03559477979284
event_253,-45.03776108175105
event_254,-45.041583967559646
event_255,-45.03272761543639
event_256,-45.01762721649242
event_257,-45.02418983713052
event_258,-45.00966287105784
event_259,-45.06592300720772
event_260,-45.04973945728465
event_261,-45.03317361878072
event_262,-45.03412934023288
event_263,-45.065795577680774
event_264,-45.024699555238335
event_265,-45.02546413240006
event_266,-45.029287018208656
event_267,-45.02068552513931
event_268,-45.04795544390731
event_269,-45.01909265605239
event_270,-45.05305262498545
event_271,-45.008197431497884
event_272,-45.04973945728465
event_273,-45.03119846111296
event_274,-45.030688743005136
event_275,-45.03387448117897
event_276,-45.00666827717445
event_277,-45.03572220931979
event_278,-45.04139282326921
event_279,-45.06420270859386
event_280,-45.06433013812081
event_281,-45.07885710419348
event_282,-45.04610771576648
event_283,-45.037888511278
event_284,-45.06286469856084
event_285,-45.071975909738
event_286,-45.060889540893065
event_287,-45.02826758199303
event_288,-45.01832807889067
event_289,-45.065604433390334
event_290,-45.0387168032032
event_291,-45.04719086674558
event_292,-45.05878695369834
event_293,-45.060252393258295
event_294,-45.0275030048313
event_295,-45.05821352082705
event_296,-45.06656015484249
event_297,-45.04585285671258
event_298,-45.00539398190491
event_299,-45.03521249121198
event_300,-45.022023535172316
event_301,-45.01202031730649
event_302,-45.06783445011203
event_303,-45.01310346828558
event_304,-45.03387448117897
event_305,-45.03272761543639
event_306,-45.032663900672915
event_307,-45.01297603875863
event_308,-45.031771893984235
event_309,-45.009089438186564
event_310,-45.04018224276315
event_311,-45.02654728337916
event_312,-45.01323089781255
event_313,-45.01203767023826
event_314,-45.04714450491389
event_315,-45.05211425646507
event_316,-45.06026974619008
event_317,-45.02414347529883
event_318,-45.00279902953415
event_319,-45.04223846812618
event_320,-45.05306997791722
event_321,-45.04797279683908
event_322,-45.00910679111834
event_323,-45.017580854660736
event_324,-45.022295747158005
event_325,-45.02490805246055
event_326,-45.04778165254866
event_327,-45.03886158566192
event_328,-45.039243874242786
event_329,-45.006112197234934
event_330,-45.03274496836816
event_331,-45.03669528370372
event_332,-45.040390739985355
event_333,-45.01350310979823
event_334,-45.06192633004047
event_335,-45.04752679349475
event_336,-45.038925300425404
event_337,-45.02758407252657
event_338,-45.05842201804925
event_339,-45.02904951208652
event_340,-45.041027887620125
event_341,-45.05026652832424
event_342,-45.029176941613485
event_343,-45.02548148533183
event_344,-45.01101823402264
event_345,-45.00700420392361
event_346,-45.02465319340664
event_347,-45.02210460286757
event_348,-45.02407976053535
event_349,-45.00630334152536
event_350,-45.06543064203168
event_351,-45.04249332718009
event_352,-45.02286918002928
event_353,-45.05695657848928
event_354,-45.01605170033729
event_355,-45.01375796885214
event_356,-45.06543064203168
event_357,-45.00687677439666
event_358,-45.05109482024944
event_359,-45.01292967692694
event_360,-45.00821478442966
event_361,-45.04797279683908
event_362,-45.05466284700414
event_363,-45.02573634438574
event_364,-45.02083030759803
event_365,-45.03949873329668
event_366,-45.01184652594783
event_367,-45.045933924407834
event_368,-45.005411334836694
event_369,-45.0468259310965
event_370,-45.03644042464981
event_371,-45.058868021393586
event_372,-45.01796314324159
event_373,-45.00706791868709
event_374,-45.04485077342872
event_375,-45.04128274667404
event_376,-45.03217153549688
event_377,-45.06498463868734
event_378,-45.01420397219647
event_379,-45.060206031426596
event_380,-45.02235946192149
event_381,-45.061161752878746
event_382,-45.03905272995235
event_383,-45.048355085419935
event_384,-45.04701707538693
event_385,-45.02981408924824
event_386,-45.015478267466
event_387,-45.00764135155838
event_388,-45.00528390530974
event_389,-45.03790586420977
event_390,-45.01401282790604
event_391,-45.026755780601356
event_392,-45.03325468647598
event_393,-45.06543064203168
event_394,-45.047271934440836
event_395,-45.011973955474794
event_396,-45.055809712746715
event_397,-45.03981730711407
event_398,-45.03841558231758
event_399,-45.05357969602503
event_400,-45.038606726608016
event_401,-45.00458304291149
event_402,-45.032426394550775
event_403,-45.056319430854515
event_404,-45.023251468610155
event_405,-45.02178602905019
event_406,-45.06058832000746
event_407,-45.04797279683908
event_408,-45.02025687472675
event_409,-45.041665035254894
event_410,-45.064283776289095
event_411,-45.03382811934727
event_412,-45.03472012603594
event_413,-45.06186261527699
event_414,-45.03319097171251
event_415,-45.018013425981806
event_416,-45.02489462043729
event_417,-45.012087952978476
event_418,-45.00845621146031
event_419,-45.029991801515415
event_420,-45.01807714074529
event_421,-45.040504737489066
event_422,-45.00233959416656
event_423,-45.02604148617987
event_424,-45.01941515077829
event_425,-45.02387518422165
event_426,-45.04031359319863
event_427,-45.03680928120741
event_428,-45.03209438871015
event_429,-45.031138667258
event_430,-45.00565276186734
event_431,-45.05114510298966
event_432,-45.04311704279161
event_433,-45.044200193770706
event_434,-45.05190968015138
event_435,-45.01839571456267
event_436,-45.052355683495726
event_437,-45.01419054017321
event_438,-45.03680928120741
event_439,-45.03082009344062
event_440,-45.01756742263748
event_441,-45.011769379161095
event_442,-45.03610841880917
event_443,-45.06618178717015
event_444,-45.00482446994214
event_445,-45.0477682205254
event_446,-45.06133946514592
event_447,-45.02247345942517
event_448,-45.03642699262656
event_449,-45.06082974703811
event_450,-45.029673227698034
event_451,-45.04432762329766
event_452,-45.041842747522075
event_453,-45.048596512450594
event_454,-45.022983177532986
event_455,-45.020625731284355
event_456,-45.0357898449918
event_457,-45.037191569788284
event_458,-45.036936710734366
event_459,-45.00514304375953
event_460,-45.02935465388065
event_461,-45.05101767346271
event_462,-45.039995019381244
event_463,-45.025340623781624
event_464,-45.02616891570682
event_465,-45.03164838536581
event_466,-45.01508254686189
event_467,-45.05433084116349
event_468,-45.033559828270114
event_469,-45.04241618039337
event_470,-45.01680284547575
event_471,-45.047003643363674
event_472,-45.01616569784099
event_473,-45.03171210012929
event_474,-45.039230442219534
event_475,-45.01348967777497
event_476,-45.061084606092024
event_477,-45.07790530364985
event_478,-45.02852636195545
event_479,-45.06528978048147
event_480,-45.02629634523377
event_481,-45.05108138822619
event_482,-45.02629634523377
event_483,-45.0586634450799
event_484,-45.05018938153751
event_485,-45.05426712640003
event_486,-45.01654798642184
event_487,-45.04139674417773
event_488,-45.02604148617987
event_489,-45.018586858853105
event_490,-45.03840215029433
event_491,-45.041587888468165
event_492,-45.02782549955721
event_493,-45.02444861709295
event_494,-45.019351436014816
event_495,-45.0218363117904
event_496,-45.011705664397624
event_497,-45.04470991187853
event_498,-45.01431796970016
event_499,-45.02291946276951
event_500,-45.05987402558596
event_501,-45.00979422149332
event_502,-45.04445505282462
event_503,-45.075356713110786
event_504,-45.02323803658689
event_505,-45.03833843553087
event_506,-45.04649392525587
event_507,-45.03241296252753
event_508,-45.027506925739836
event_509,-45.0071182014273
event_510,-45.04999823724708
event_511,-45.036872995970896
event_512,-45.012087952978476
event_513,-45.022027456080835
event_514,-45.02451233185642
event_515,-45.054521985453924
event_516,-45.04069979983353
event_517,-45.08708414764453
event_518,-45.043821823243896
event_519,-45.25255138839337
event_520,-45.038087494531
event_521,-45.08211439609335
event_522,-45.01381216964639
event_523,-45.050894161989795
event_524,-45.073130614443144
event_525,-45.047899568106395
event_526,-45.01304759248468
event_527,-45.021967659371406
event_528,-45.08294268801855
event_529,-45.06452912137381
event_530,-45.072302322517956
event_531,-45.0457332661482
event_532,-45.038278638821424
event_533,-45.01559618302374
event_534,-45.04439525611519
event_535,-45.036813199261466
event_536,-45.03311774297981
event_537,-45.08561870808457
event_538,-45.02215880366184
event_539,-45.064083118029465
event_540,-45.04879157479507
event_541,-45.030951441021614
event_542,-45.12091668705064
event_543,-45.04535097756733
event_544,-45.09097074821661
event_545,-45.05376132634625
event_546,-45.025599400889575
event_547,-45.020629649338396
event_548,-45.049173863375934
event_549,-45.008714988568265
event_550,-45.0440766822978
event_551,-45.039935222671815
event_552,-45.00877870333174
event_553,-45.020311075521015
event_554,-45.06191681607126
event_555,-45.00967071002041
event_556,-45.02655512234172
event_557,-45.0345194677763
event_558,-45.075424345928305
event_559,-45.05184988344195
event_560,-45.06357339992165
event_561,-45.05439847398102
event_562,-45.05376132634625
event_563,-45.06210796036169
event_564,-45.08721157717148
event_565,-45.02751084379388
event_566,-45.0151501796794
event_567,-45.039616648854434
event_568,-45.06038766174782
event_569,-45.0181447735628
event_570,-45.03547518922846
event_571,-45.05299674918453
event_572,-45.06147081272693
event_573,-45.028530280009505
event_574,-45.07574291974569
event_575,-45.05458961827145
event_576,-45.072429752044904
event_577,-45.0566284907027
event_578,-45.020693364101874
event_579,-45.07249346680839
event_580,-45.041209517941354
event_581,-45.059431940295674
event_582,-45.05471704779839
event_583,-45.037896350240565
event_584,-45.11116832823871
event_585,-45.062490248942545
event_586,-45.029039998117305
event_587,-45.01859077690714
event_588,-45.05114902104371
event_589,-45.03050543767728
event_590,-45.06026023222087
event_591,-45.06389197373904
event_592,-45.020629649338396
event_593,-45.03936178980054
event_594,-45.06038766174782
event_595,-45.061534527490394
event_596,-45.01916420977843
event_597,-45.04235638368394
event_598,-45.04961986672027
event_599,-45.045924410438616
event_600,-45.07994809413515
event_601,-45.01878192119757
event_602,-45.01712533734718
event_603,-45.03547518922846
event_604,-45.02579054518001
event_605,-45.048982719085494
event_606,-45.09116189250704
event_607,-45.04057237030659
event_608,-45.02891256859036
event_609,-45.102120831825026
event_610,-45.06573970187986
event_611,-45.02336938416789
event_612,-45.05535419543316
event_613,-45.05293303442105
event_614,-45.03369117585111
event_615,-45.04420411182475
event_616,-45.07625263785351
event_617,-45.03337260203372
event_618,-45.060706235565206
event_619,-45.11448149593949
event_620,-45.04019008172572
event_621,-45.03706805831537
event_622,-45.1046694223641
event_623,-45.05465333303493
event_624,-45.07236603728143
event_625,-45.008014126170025
event_626,-45.01126357910732
event_627,-45.07727207406913
event_628,-45.05204102773238
event_629,-45.05102159151675
event_630,-45.01253787437686
event_631,-45.05828507455309
event_632,-45.04987472577418
event_633,-45.0429935313187
event_634,-45.01540503873331
event_635,-45.03802377976752
event_636,-45.00654868661006
event_637,-45.05803021549919
event_638,-45.01177329721514
event_639,-45.04165552128569
event_640,-45.05924079600524
event_641,-45.05038444388198
event_642,-45.03700434355189
event_643,-45.0459881252021
event_644,-45.04420411182475
event_645,-45.03267173963548
event_646,-45.05159502438805
event_647,-45.05063930293589
event_648,-45.051977312968894
event_649,-45.09186275490528
event_650,-45.03662205497103
event_651,-45.06401940326599
event_652,-45.02802056190169
event_653,-45.07682607072479
event_654,-45.07478719829354
event_655,-45.044777544696046
event_656,-45.027255984739966
event_657,-45.060578806038244
event_658,-45.07606149356307
event_659,-45.04987472577418
event_660,-45.07797293646737
event_661,-45.041528091758735
event_662,-45.02872142429993
event_663,-45.03674948449798
event_664,-45.04318467560913
event_665,-45.04643412854644
event_666,-45.02719226997649
event_667,-45.06663170856853
event_668,-45.07682607072479
event_669,-45.08784872480625
event_670,-45.037896350240565
event_671,-45.022286233188794
event_672,-45.05165873915152
event_673,-45.022923380823556
event_674,-45.06242653417907
event_675,-45.051977312968894
event_676,-45.04388553800737
event_677,-45.05605505783141
event_678,-45.00431866988838
event_679,-45.05325160823843
event_680,-45.00240722698408
event_681,-45.09141675156095
event_682,-45.022031374134876
event_683,-45.07185631917362
event_684,-45.04860043050464
event_685,-45.05803021549919
event_686,-45.06357339992165
event_687,-45.0996996708129
event_688,-45.06828829241893
event_689,-45.034583182539784
event_690,-45.03273545439895
event_691,-45.01330245153858
event_692,-45.053442752528866
event_693,-45.018654491670624
event_694,-45.02954971622513
event_695,-45.042929816555215
event_696,-45.01897306548801
event_697,-45.06134338319997
event_698,-45.00686726042744
event_699,-45.08982388247403
event_700,-45.02840285048254
event_701,-45.009798139547364
event_702,-45.06115223890954
event_703,-45.07281204062577
event_704,-45.05860364837047
event_705,-45.10033681844768
event_706,-45.06032394698435
event_707,-45.01158215292471
event_708,-45.091034462980076
event_709,-45.05006587006461
event_710,-45.06618570522419
event_711,-45.02751084379388
event_712,-45.09116189250704
event_713,-45.00858755904131
event_714,-45.02184022984446
event_715,-45.08020295318905
event_716,-45.02279595129661
event_717,-45.01661561923937
event_718,-45.07192003393709
event_719,-45.026618837105204
event_720,-45.06312039298786
event_721,-45.01272201507784
event_722,-45.1808652758927
event_723,-45.02610211540793
event_724,-45.04107508482494
event_725,-45.01074685741007
event_726,-45.025528682536645
event_727,-45.04234938009448
event_728,-45.09618835523224
event_729,-45.06904586599119
event_730,-45.05037744029253
event_731,-45.026866692569655
event_732,-45.01852005855422
event_733,-45.07707392618924
event_734,-45.01100171646397
event_735,-45.03960964526498
event_736,-45.039163641920645
event_737,-45.028077273075716
event_738,-45.02877813547395
event_739,-45.04967657789429
event_740,-45.03075329314173
event_741,-45.01469717274561
event_742,-45.018902347135075
event_743,-45.03699733996244
event_744,-45.02935156834524
event_745,-45.0540091818107
event_746,-45.03674248090853
event_747,-45.06292924869743
event_748,-45.11925309961077
event_749,-45.04942171884039
event_750,-45.022151800072386
event_751,-45.0313904407765
event_752,-45.04604483637612
event_753,-45.05910636288883
event_754,-45.0365513366181
event_755,-45.04649083972045
event_756,-45.060571802448806
event_757,-45.05356317846637
event_758,-45.09255661371407
event_759,-45.047382846409135
event_760,-45.02094121956633
event_761,-45.02546496777317
event_762,-45.04591740684917
event_763,-45.047064272591754
event_764,-45.05158802079859
event_765,-45.02393581344973
event_766,-45.09230175466016
event_767,-45.05120573221773
event_768,-45.006286823966704
event_769,-45.00507624346064
event_770,-45.00450281058935
event_771,-45.06522298018259
event_772,-45.04782884975348
event_773,-45.07516248328494
event_774,-45.069619298862484
event_775,-45.05356317846637
event_776,-45.065987557344314
event_777,-45.08045080865351
event_778,-45.03362045749817
event_779,-45.05031372552906
event_780,-45.058086926673205
event_781,-45.08459226827949
event_782,-45.01348659223956
event_783,-45.01469717274561
event_784,-45.046681984010895
event_785,-45.05146059127164
event_786,-45.02845956165657
event_787,-45.0365513366181
event_788,-45.03432131989642
event_789,-45.071658171293734
event_790,-45.057768352855824
event_791,-45.08777800645332
event_792,-45.0575772085654
event_793,-45.05082344363687
event_794,-45.00991856548487
event_795,-45.05190659461597
event_796,-45.02463667584797
event_797,-45.08013223483612
event_798,-45.03540447087552
event_799,-45.05955236623317
event_800,-45.060062084340984
event_801,-45.10141296583732
event_802,-45.02406324297668
event_803,-45.04343253107358
event_804,-45.05477375897242
event_805,-45.06840871835643
event_806,-45.056621487113254
event_807,-45.04942171884039
event_808,-45.01157514933526
event_809,-45.03451246418685
event_810,-45.05158802079859
event_811,-45.07204045987459
event_812,-45.04903943025952
event_813,-45.06254696011657
event_814,-45.049166859786475
event_815,-45.05827807096364
event_816,-45.04789256451694
event_817,-45.049485433603856
event_818,-45.028650705946994
event_819,-45.075799630919704
event_820,-45.09376719422012
event_821,-45.031836444120835
event_822,-45.06522298018259
event_823,-45.02845956165657
event_824,-45.0471917021187
event_825,-45.07025644649725
event_826,-45.014314884164754
event_827,-45.03043471932435
event_828,-45.072422748455445
event_829,-45.05547462137067
event_830,-45.02189694101848
event_831,-45.01750062233858
event_832,-45.06050808768532
event_833,-45.025783541590556
event_834,-45.03674248090853
event_835,-45.05604805424195
event_836,-45.03088072266868
event_837,-45.04942171884039
event_838,-45.02973385692609
event_839,-45.1061278583346
event_840,-45.013677736529985
event_841,-45.083254258246484
event_842,-45.06904586599119
event_843,-45.0537543227568
event_844,-45.049804007421244
event_845,-45.06184609771833
event_846,-45.05139687650816
event_847,-45.061400094373994
event_848,-45.00418423677197
event_849,-45.02858699118352
event_850,-45.03400274607903
event_851,-45.04132994387886
event_852,-45.069937872679866
event_853,-45.006095679676264
event_854,-45.06732556737732
event_855,-45.12753601886275
event_856,-45.10052095914865
event_857,-45.03540447087552
event_858,-45.0259109711175
event_859,-45.04419710823531
event_860,-45.03960964526498
event_861,-45.060062084340984
event_862,-45.0283958468931
event_863,-45.06751671166775
event_864,-45.03017986027044
event_865,-45.01488831703605
event_866,-45.01852005855422
event_867,-45.02094121956633
event_868,-45.03190015888431
event_869,-45.03572304469291
event_870,-45.0949140599627
event_871,-45.01151143457178
event_872,-45.04725541688217
event_873,-45.02705783686008
event_874,-45.04999515171167
event_875,-45.024318102030584
event_876,-45.08752314739942
event_877,-45.05146059127164
event_878,-45.071594456530256
event_879,-45.031836444120835
event_880,-45.02501896442883
event_881,-45.010555713119636
event_882,-45.01010970977531
event_883,-45.05394546704723
event_884,-45.03680619567201
event_885,-45.01284944460478
event_886,-45.02298009199758
event_887,-45.04336881631011
event_888,-45.05795949714625
event_889,-45.06312039298786
event_890,-45.05139687650816
event_891,-45.01934835047941
event_892,-45.05572948042457
event_893,-45.041202514351895
event_894,-45.06184609771833
event_895,-45.05987094005055
event_896,-45.08637628165684
event_897,-45.033493027971225
event_898,-45.011192860754406
event_899,-45.07414304706933
event_900,-45.02329866581496
event_901,-45.052734886541174
event_902,-45.04043793719017
event_903,-45.04782884975348
event_904,-45.041521088169276
event_905,-45.04757399069956
event_906,-45.042413094857956
event_907,-45.054455185155035
event_908,-45.04865714167867
event_909,-45.0791127986205
event_910,-45.056621487113254
event_911,-45.04324138678316
event_912,-45.053372034175936
event_913,-45.026611833515744
event_914,-45.04502540016049
event_915,-45.05133316174469
event_916,-45.047382846409135
event_917,-45.023489810105396
event_918,-45.01176629362568
event_919,-45.04069279624409
event_920,-45.04782884975348
