,delta_x,integrais_muon,integrais_eletron,x_pico_muon,y_pico_muon,x_pico_eletron,y_pico_eletron
4187,1602.0,706.1878594438344,573.1878594438344,94,-179.27678966421792,1696,-179.27678966421792
4188,477.0,780.1878594438346,247.18785944383063,94,-179.27678966421792,571,-68.27678966421793
4189,2196.0,827.1878594438346,356.1878594438306,94,-179.27678966421792,2290,-141.27678966421792
4190,156.0,667.1878594438344,737.1878594438344,94,-179.27678966421792,250,-179.27678966421792
4191,693.0,720.1878594438344,755.1878594438344,94,-179.27678966421792,787,-179.27678966421792
4192,976.0,352.1878594438306,877.1878594438346,93,-114.27678966421793,1069,-179.27678966421792
4193,218.0,695.1878594438344,425.1878594438306,94,-179.27678966421792,312,-135.27678966421792
4194,1954.0,727.1878594438344,705.1878594438344,93,-179.27678966421792,2047,-179.27678966421792
4195,39.0,1214.187859443831,375.1878594438306,94,-179.27678966421792,133,-117.27678966421793
4196,451.0,862.1878594438344,757.1878594438344,94,-179.27678966421792,545,-179.27678966421792
4197,451.0,862.1878594438344,757.1878594438344,94,-179.27678966421792,545,-179.27678966421792
4198,451.0,862.1878594438344,757.1878594438344,94,-179.27678966421792,545,-179.27678966421792
4199,451.0,862.1878594438344,757.1878594438344,94,-179.27678966421792,545,-179.27678966421792
4200,60.0,1154.1878594438333,372.1878594438306,94,-179.27678966421792,154,-90.27678966421793
4201,121.0,832.1878594438344,224.18785944383058,94,-179.27678966421792,215,-66.27678966421793
4202,85.0,882.1878594438346,696.1878594438344,94,-179.27678966421792,179,-179.27678966421792
4203,235.0,597.1878594438344,752.1878594438344,94,-179.27678966421792,329,-179.27678966421792
4204,235.0,597.1878594438344,752.1878594438344,94,-179.27678966421792,329,-179.27678966421792
4205,72.0,676.1878594438344,290.1878594438306,94,-179.27678966421792,166,-79.27678966421793
4206,72.0,676.1878594438344,290.1878594438306,94,-179.27678966421792,166,-79.27678966421793
4207,72.0,676.1878594438344,290.1878594438306,94,-179.27678966421792,166,-79.27678966421793
4208,381.0,334.1878594438306,268.18785944383063,94,-98.27678966421793,475,-78.27678966421793
4209,313.0,264.18785944383063,846.1878594438344,93,-71.27678966421793,406,-179.27678966421792
4210,322.0,707.1878594438344,820.1878594438344,94,-179.27678966421792,416,-179.27678966421792
4211,322.0,707.1878594438344,820.1878594438344,94,-179.27678966421792,416,-179.27678966421792
4212,322.0,707.1878594438344,820.1878594438344,94,-179.27678966421792,416,-179.27678966421792
4213,322.0,707.1878594438344,820.1878594438344,94,-179.27678966421792,416,-179.27678966421792
4214,297.0,767.1878594438344,703.1878594438344,94,-179.27678966421792,391,-179.27678966421792
4215,489.0,326.1878594438306,468.1878594438306,94,-96.27678966421793,583,-142.27678966421792
4216,1540.0,220.18785944383063,792.1878594438346,93,-76.27678966421793,1633,-179.27678966421792
4217,1540.0,220.18785944383063,792.1878594438346,93,-76.27678966421793,1633,-179.27678966421792
4218,1540.0,220.18785944383063,792.1878594438346,93,-76.27678966421793,1633,-179.27678966421792
4219,356.0,811.1878594438344,412.1878594438306,94,-179.27678966421792,450,-139.27678966421792
4220,105.0,919.1878594438346,541.1878594438341,95,-179.27678966421792,200,-179.27678966421792
4221,132.0,880.1878594438346,528.1878594438343,94,-179.27678966421792,226,-169.27678966421792
4222,812.0,812.1878594438344,614.1878594438344,94,-179.27678966421792,906,-179.27678966421792
4223,285.0,795.1878594438344,631.1878594438344,94,-179.27678966421792,379,-179.27678966421792
4224,39.0,1038.1878594438315,266.1878594438306,94,-179.27678966421792,133,-85.27678966421793
4225,128.0,799.1878594438346,258.18785944383063,94,-179.27678966421792,222,-83.27678966421793
4226,128.0,799.1878594438346,258.18785944383063,94,-179.27678966421792,222,-83.27678966421793
4227,69.0,1033.1878594438344,211.18785944383063,94,-179.27678966421792,163,-59.27678966421793
4228,138.0,628.1878594438344,306.1878594438306,94,-179.27678966421792,232,-94.27678966421793
4229,49.0,720.1878594438318,342.1878594438306,94,-116.27678966421793,143,-95.27678966421793
4230,49.0,720.1878594438318,342.1878594438306,94,-116.27678966421793,143,-95.27678966421793
4231,49.0,720.1878594438318,342.1878594438306,94,-116.27678966421793,143,-95.27678966421793
4232,1588.0,333.1878594438306,259.18785944383063,93,-93.27678966421793,1681,-81.27678966421793
4233,1134.0,885.1878594438344,152.18785944383063,94,-179.27678966421792,1228,-52.27678966421793
4234,55.0,899.1878594438324,377.1878594438306,94,-145.27678966421792,149,-113.27678966421793
4235,55.0,899.1878594438324,377.1878594438306,94,-145.27678966421792,149,-113.27678966421793
4236,65.0,943.1878594438344,257.1878594438306,94,-179.27678966421792,159,-71.27678966421793
4237,241.0,396.1878594438306,375.1878594438306,94,-146.27678966421792,335,-138.27678966421792
4238,241.0,396.1878594438306,375.1878594438306,94,-146.27678966421792,335,-138.27678966421792
4239,241.0,396.1878594438306,375.1878594438306,94,-146.27678966421792,335,-138.27678966421792
4240,241.0,396.1878594438306,375.1878594438306,94,-146.27678966421792,335,-138.27678966421792
4241,241.0,396.1878594438306,375.1878594438306,94,-146.27678966421792,335,-138.27678966421792
4242,1269.0,470.1878594438306,414.1878594438306,94,-133.27678966421792,1363,-131.27678966421792
4243,1128.0,774.1878594438346,344.1878594438306,95,-179.27678966421792,1223,-107.27678966421793
4244,910.0,390.1878594438306,681.1878594438344,93,-120.27678966421793,1003,-179.27678966421792
4245,236.0,869.1878594438346,482.1878594438306,95,-179.27678966421792,331,-150.27678966421792
4246,236.0,869.1878594438346,482.1878594438306,95,-179.27678966421792,331,-150.27678966421792
4247,1098.0,889.1878594438344,198.18785944383063,93,-179.27678966421792,1191,-57.27678966421793
4248,1262.0,832.1878594438346,654.1878594438344,94,-179.27678966421792,1356,-179.27678966421792
4249,191.0,496.1878594438306,244.18785944383058,93,-123.27678966421793,284,-61.27678966421793
4250,213.0,144.18785944383063,517.1878594438314,93,-75.27678966421793,306,-144.27678966421792
4251,213.0,144.18785944383063,517.1878594438314,93,-75.27678966421793,306,-144.27678966421792
4252,213.0,144.18785944383063,517.1878594438314,93,-75.27678966421793,306,-144.27678966421792
4253,437.0,708.1878594438344,610.1878594438344,94,-179.27678966421792,531,-179.27678966421792
4254,933.0,792.1878594438344,590.1878594438343,94,-179.27678966421792,1027,-179.27678966421792
4255,294.0,790.1878594438344,767.1878594438344,94,-179.27678966421792,388,-179.27678966421792
4256,394.0,582.1878594438343,784.1878594438346,94,-179.27678966421792,488,-179.27678966421792
4257,1967.0,309.1878594438306,228.18785944383058,94,-99.27678966421793,2061,-60.27678966421793
4258,1967.0,309.1878594438306,228.18785944383058,94,-99.27678966421793,2061,-60.27678966421793
4259,492.0,715.1878594438344,515.1878594438343,94,-179.27678966421792,586,-179.27678966421792
4260,492.0,715.1878594438344,515.1878594438343,94,-179.27678966421792,586,-179.27678966421792
4261,417.0,719.1878594438344,662.1878594438344,93,-179.27678966421792,510,-179.27678966421792
4262,169.0,558.1878594438342,800.1878594438344,94,-160.27678966421792,263,-179.27678966421792
4263,169.0,558.1878594438342,800.1878594438344,94,-160.27678966421792,263,-179.27678966421792
4264,169.0,558.1878594438342,800.1878594438344,94,-160.27678966421792,263,-179.27678966421792
4265,169.0,558.1878594438342,800.1878594438344,94,-160.27678966421792,263,-179.27678966421792
4266,695.0,710.1878594438344,629.1878594438344,94,-179.27678966421792,789,-179.27678966421792
4267,695.0,710.1878594438344,629.1878594438344,94,-179.27678966421792,789,-179.27678966421792
4268,159.0,680.1878594438346,740.1878594438346,94,-179.27678966421792,253,-179.27678966421792
4269,234.0,356.1878594438306,712.1878594438344,94,-131.27678966421792,328,-179.27678966421792
4270,929.0,858.1878594438346,824.1878594438346,94,-179.27678966421792,1023,-179.27678966421792
4271,929.0,858.1878594438346,824.1878594438346,94,-179.27678966421792,1023,-179.27678966421792
4272,67.0,1015.1878594438344,421.1878594438306,94,-179.27678966421792,161,-117.27678966421793
4273,971.0,574.1878594438343,800.1878594438346,94,-175.27678966421792,1065,-179.27678966421792
4274,142.0,809.1878594438346,316.1878594438306,94,-179.27678966421792,236,-108.27678966421793
4275,830.0,845.1878594438346,756.1878594438344,94,-179.27678966421792,924,-179.27678966421792
4276,830.0,845.1878594438346,756.1878594438344,94,-179.27678966421792,924,-179.27678966421792
4277,234.0,333.1878594438306,180.18785944383063,94,-96.27678966421793,328,-55.27678966421793
4278,105.0,264.1878594438306,863.1878594438346,94,-79.27678966421793,199,-179.27678966421792
4279,253.0,384.1878594438306,617.1878594438344,93,-113.27678966421793,346,-179.27678966421792
4280,253.0,384.1878594438306,617.1878594438344,93,-113.27678966421793,346,-179.27678966421792
4281,154.0,153.18785944383063,138.18785944383063,93,-62.27678966421793,247,-56.27678966421793
4282,154.0,153.18785944383063,138.18785944383063,93,-62.27678966421793,247,-56.27678966421793
4283,154.0,153.18785944383063,138.18785944383063,93,-62.27678966421793,247,-56.27678966421793
4284,714.0,341.1878594438306,304.18785944383063,94,-112.27678966421793,808,-84.27678966421793
4285,340.0,576.1878594438343,265.18785944383063,94,-179.27678966421792,434,-79.27678966421793
4286,340.0,576.1878594438343,265.18785944383063,94,-179.27678966421792,434,-79.27678966421793
4287,482.0,690.1878594438344,268.1878594438306,94,-179.27678966421792,576,-84.27678966421793
4288,482.0,690.1878594438344,268.1878594438306,94,-179.27678966421792,576,-84.27678966421793
4289,482.0,690.1878594438344,268.1878594438306,94,-179.27678966421792,576,-84.27678966421793
4290,1116.0,297.1878594438306,244.18785944383063,93,-66.27678966421793,1209,-71.27678966421793
4291,1116.0,297.1878594438306,244.18785944383063,93,-66.27678966421793,1209,-71.27678966421793
4292,1116.0,297.1878594438306,244.18785944383063,93,-66.27678966421793,1209,-71.27678966421793
4293,1116.0,297.1878594438306,244.18785944383063,93,-66.27678966421793,1209,-71.27678966421793
4294,333.0,641.1878594438344,620.1878594438344,94,-179.27678966421792,427,-179.27678966421792
4295,398.0,856.1878594438346,317.1878594438306,94,-179.27678966421792,492,-102.27678966421793
4296,455.0,446.1878594438306,267.18785944383063,94,-135.27678966421792,549,-66.27678966421793
4297,653.0,777.1878594438346,118.18785944383082,94,-179.27678966421792,747,-58.27678966421793
4298,653.0,777.1878594438346,118.18785944383082,94,-179.27678966421792,747,-58.27678966421793
4299,555.0,163.18785944383063,610.1878594438343,93,-67.27678966421793,648,-179.27678966421792
4300,555.0,163.18785944383063,610.1878594438343,93,-67.27678966421793,648,-179.27678966421792
4301,2359.0,576.1878594438343,463.5449075026006,94,-179.27678966421792,2453,-152.27678966421792
4302,192.0,750.1878594438344,425.1878594438306,94,-179.27678966421792,286,-133.27678966421792
4303,192.0,750.1878594438344,425.1878594438306,94,-179.27678966421792,286,-133.27678966421792
4304,181.0,429.1878594438306,496.1878594438306,94,-138.27678966421792,275,-143.27678966421792
4305,181.0,429.1878594438306,496.1878594438306,94,-138.27678966421792,275,-143.27678966421792
4306,181.0,429.1878594438306,496.1878594438306,94,-138.27678966421792,275,-143.27678966421792
4307,511.0,387.1878594438306,217.18785944383058,94,-122.27678966421793,605,-80.27678966421793
4308,596.0,630.1878594438344,810.1878594438346,94,-179.27678966421792,690,-179.27678966421792
4309,239.0,905.1878594438344,486.1878594438306,94,-179.27678966421792,333,-147.27678966421792
4310,341.0,898.1878594438346,618.1878594438344,95,-179.27678966421792,436,-179.27678966421792
4311,332.0,644.1878594438344,685.1878594438344,94,-179.27678966421792,426,-179.27678966421792
4312,332.0,644.1878594438344,685.1878594438344,94,-179.27678966421792,426,-179.27678966421792
4313,647.0,607.1878594438344,283.1878594438306,94,-179.27678966421792,741,-86.27678966421793
4314,801.0,720.1878594438344,561.1878594438341,94,-179.27678966421792,895,-179.27678966421792
4315,801.0,720.1878594438344,561.1878594438341,94,-179.27678966421792,895,-179.27678966421792
4316,801.0,720.1878594438344,561.1878594438341,94,-179.27678966421792,895,-179.27678966421792
4317,891.0,883.1878594438346,277.1878594438306,95,-179.27678966421792,986,-68.27678966421793
4318,599.0,676.1878594438344,253.18785944383058,94,-179.27678966421792,693,-90.27678966421793
4319,1095.0,633.1878594438344,872.1878594438344,94,-179.27678966421792,1189,-179.27678966421792
4320,81.0,938.1878594438344,287.18785944383063,94,-179.27678966421792,175,-84.27678966421793
4321,81.0,938.1878594438344,287.18785944383063,94,-179.27678966421792,175,-84.27678966421793
4322,667.0,537.1878594438343,545.1878594438342,94,-179.27678966421792,761,-179.27678966421792
4323,1245.0,872.1878594438344,825.1878594438346,94,-179.27678966421792,1339,-179.27678966421792
4324,358.0,753.1878594438344,195.18785944383063,94,-179.27678966421792,452,-57.27678966421793
4325,358.0,753.1878594438344,195.18785944383063,94,-179.27678966421792,452,-57.27678966421793
4326,358.0,753.1878594438344,195.18785944383063,94,-179.27678966421792,452,-57.27678966421793
4327,504.0,919.1878594438346,626.1878594438344,95,-179.27678966421792,599,-179.27678966421792
4328,692.0,526.1878594438341,141.18785944383063,94,-156.27678966421792,786,-58.27678966421793
4329,692.0,526.1878594438341,141.18785944383063,94,-156.27678966421792,786,-58.27678966421793
4330,692.0,526.1878594438341,141.18785944383063,94,-156.27678966421792,786,-58.27678966421793
4331,158.0,837.1878594438346,727.1878594438346,94,-179.27678966421792,252,-179.27678966421792
4332,649.0,911.1878594438344,306.1878594438306,94,-179.27678966421792,743,-98.27678966421793
4333,440.0,721.1878594438344,599.1878594438344,94,-179.27678966421792,534,-179.27678966421792
4334,310.0,266.18785944383063,370.1878594438306,93,-79.27678966421793,403,-107.27678966421793
4335,98.0,748.1878594438346,667.1878594438343,94,-179.27678966421792,192,-171.27678966421792
4336,199.0,860.1878594438346,386.1878594438306,95,-179.27678966421792,294,-104.27678966421793
4337,199.0,860.1878594438346,386.1878594438306,95,-179.27678966421792,294,-104.27678966421793
4338,199.0,860.1878594438346,386.1878594438306,95,-179.27678966421792,294,-104.27678966421793
4339,876.0,860.1878594438346,825.1878594438346,95,-179.27678966421792,971,-179.27678966421792
4340,673.0,789.1878594438346,570.1878594438343,94,-179.27678966421792,767,-179.27678966421792
4341,1516.0,635.1878594438343,429.1878594438306,94,-176.27678966421792,1610,-150.27678966421792
4342,1516.0,635.1878594438343,429.1878594438306,94,-176.27678966421792,1610,-150.27678966421792
4343,1021.0,828.1878594438346,736.1878594438344,94,-179.27678966421792,1115,-179.27678966421792
4344,83.0,772.1878594438344,794.1878594438344,94,-179.27678966421792,177,-179.27678966421792
4345,83.0,772.1878594438344,794.1878594438344,94,-179.27678966421792,177,-179.27678966421792
4346,85.0,642.1878594438344,924.1878594438346,95,-177.27678966421792,180,-179.27678966421792
4347,69.0,982.1878594438306,860.1878594438346,94,-124.27678966421793,163,-179.27678966421792
4348,477.0,684.1878594438344,249.18785944383063,94,-179.27678966421792,571,-91.27678966421793
4349,162.0,725.1878594438344,265.1878594438306,94,-179.27678966421792,256,-72.27678966421793
4350,162.0,725.1878594438344,265.1878594438306,94,-179.27678966421792,256,-72.27678966421793
4351,162.0,725.1878594438344,265.1878594438306,94,-179.27678966421792,256,-72.27678966421793
4352,162.0,725.1878594438344,265.1878594438306,94,-179.27678966421792,256,-72.27678966421793
4353,355.0,824.1878594438346,205.18785944383063,94,-179.27678966421792,449,-66.27678966421793
4354,355.0,824.1878594438346,205.18785944383063,94,-179.27678966421792,449,-66.27678966421793
4355,276.0,221.18785944383058,454.1878594438306,94,-79.27678966421793,370,-126.27678966421793
4356,131.0,829.1878594438346,648.1878594438344,95,-179.27678966421792,226,-179.27678966421792
4357,131.0,829.1878594438346,648.1878594438344,95,-179.27678966421792,226,-179.27678966421792
4358,72.0,624.1878594438344,266.1878594438306,94,-179.27678966421792,166,-102.27678966421793
4359,34.0,1071.1878594438308,347.1878594438306,94,-179.27678966421792,128,-118.27678966421793
4360,379.0,810.1878594438344,851.1878594438346,94,-179.27678966421792,473,-179.27678966421792
4361,355.0,915.1878594438346,416.1878594438306,94,-179.27678966421792,449,-159.27678966421792
4362,355.0,915.1878594438346,416.1878594438306,94,-179.27678966421792,449,-159.27678966421792
4363,1030.0,192.18785944383063,644.1878594438344,93,-67.27678966421793,1123,-179.27678966421792
4364,1439.0,463.1878594438306,774.1878594438346,94,-135.27678966421792,1533,-179.27678966421792
4365,128.0,805.1878594438344,214.18785944383063,94,-179.27678966421792,222,-72.27678966421793
4366,128.0,805.1878594438344,214.18785944383063,94,-179.27678966421792,222,-72.27678966421793
4367,236.0,611.1878594438344,343.1878594438306,94,-179.27678966421792,330,-123.27678966421793
4368,1259.0,838.1878594438346,594.1878594438344,94,-179.27678966421792,1353,-179.27678966421792
4369,141.0,635.1878594438344,216.18785944383063,94,-179.27678966421792,235,-58.27678966421793
4370,624.0,700.1878594438344,709.1878594438346,94,-179.27678966421792,718,-179.27678966421792
4371,1558.0,344.1878594438306,726.1878594438344,94,-106.27678966421793,1652,-179.27678966421792
