,0
event_123,-142.4436809628932
event_124,-143.2436809628932
event_125,-174.8436809628932
event_126,-444.4436809628931
event_127,-275.64368096289314
event_128,-148.84368096289322
event_129,-247.24368096289317
event_130,-558.8436809628931
event_131,-285.6436809628932
event_132,-258.4436809628932
event_133,-183.64368096289311
event_134,-240.04368096289315
event_135,-152.0436809628932
event_136,-214.4436809628932
event_137,-421.2436809628932
event_138,-181.64368096289317
event_139,-130.44368096289318
event_140,-363.2436809628932
event_141,-276.8436809628932
event_142,-328.8436809628932
event_143,-298.8436809628932
event_144,-220.04368096289315
event_145,-108.44368096289315
event_146,-498.4436809628932
event_147,-379.2436809628932
event_148,-286.8436809628932
event_149,-315.6436809628932
event_150,-174.44368096289318
event_151,-318.8436809628932
event_152,-382.443680962893
event_153,-176.8436809628932
event_154,-306.4436809628932
event_155,-148.84368096289316
event_156,-139.6436809628932
event_157,-235.24368096289317
event_158,-106.4436809628932
event_159,-376.0436809628932
event_160,-140.04368096289315
event_161,-197.2436809628932
event_162,-264.8436809628932
event_163,-289.6436809628932
event_164,-116.84368096289316
event_165,-430.84368096289313
event_166,-432.84368096289313
event_167,-226.44368096289315
event_168,-186.8436809628932
event_169,-170.44368096289313
event_170,-135.24368096289317
event_171,-271.2436809628931
event_172,-257.2436809628931
event_173,-258.8436809628932
event_174,-149.2436809628932
event_175,-426.4436809628931
event_176,-247.6436809628932
event_177,-339.64368096289314
event_178,-207.6436809628932
event_179,-126.84368096289316
event_180,-328.8436809628931
event_181,-105.6436809628932
event_182,-197.6436809628932
event_183,-428.0436809628932
event_184,-196.4436809628932
event_185,-361.2436809628931
event_186,-229.64368096289317
event_187,-254.44368096289315
event_188,-425.6436809628931
event_189,-117.64368096289316
event_190,-104.44368096289318
event_191,-143.2436809628932
event_192,-211.6436809628932
event_193,-380.8436809628933
event_194,-266.0436809628931
event_195,-348.4436809628931
event_196,-97.24368096289318
event_197,-351.2436809628932
event_198,-90.4436809628932
event_199,-455.2436809628932
event_200,-242.84368096289316
event_201,-312.04368096289323
event_202,-187.64368096289317
event_203,-126.84368096289322
event_204,-195.6436809628932
event_205,-201.6436809628932
event_206,-114.44368096289318
event_207,-284.44368096289315
event_208,-446.0436809628931
event_209,-158.44368096289318
event_210,-307.6436809628932
event_211,-336.8436809628932
event_212,-215.6436809628932
event_213,-192.4436809628932
event_214,-338.8436809628932
event_215,-330.8436809628932
event_216,-193.6436809628932
event_217,-234.04368096289315
event_218,-172.44368096289313
event_219,-304.04368096289323
event_220,-160.44368096289318
event_221,-96.8436809628932
event_222,-291.2436809628932
event_223,-259.2436809628932
event_224,-172.84368096289316
event_225,-135.6436809628932
event_226,-389.2436809628932
event_227,-176.04368096289318
event_228,-274.8436809628932
event_229,-296.8436809628932
event_230,-184.0436809628932
event_231,-294.44368096289315
event_232,-184.4436809628932
event_233,-342.0436809628932
event_234,-360.8436809628932
event_235,-104.8436809628932
event_236,-136.84368096289313
event_237,-312.8436809628932
event_238,-443.2436809628932
event_239,-395.2436809628932
event_240,-102.84368096289316
event_241,-158.4436809628932
event_242,-164.04368096289312
event_243,-194.44368096289315
event_244,-327.2436809628932
event_245,-316.04368096289323
